year,crime_code,crime_count
2024,1,32817.0
2023,1,31088.0
2022,1,29207.0
2021,1,26001.0
2020,1,23204.0
2019,1,25043.0
2024,1.1,178.0
2023,1.1,199.0
2022,1.1,180.0
2021,1.1,129.0
2020,1.1,136.0
2019,1.1,97.0
2024,1.1.1,23.0
2023,1.1.1,33.0
2022,1.1.1,52.0
2021,1.1.1,36.0
2020,1.1.1,37.0
2019,1.1.1,24.0
2024,1.2,10626.0
2023,1.2,10028.0
2022,1.2,9766.0
2021,1.2,8871.0
2020,1.2,7986.0
2019,1.2,9687.0
2024,1.3,21292.0
2023,1.3,20277.0
2022,1.3,18761.0
2021,1.3,16560.0
2020,1.3,14735.0
2019,1.3,14847.0
2024,1.4,721.0
2023,1.4,584.0
2022,1.4,500.0
2021,1.4,441.0
2020,1.4,347.0
2019,1.4,412.0
2024,2,14202.0
2023,2,13599.0
2022,2,12460.0
2021,2,12402.0
2020,2,11238.0
2019,2,10821.0
2024,2.1,1353.0
2023,2.1,1383.0
2022,2.1,1189.0
2021,2.1,1280.0
2020,2.1,1099.0
2019,2.1,1216.0
2024,2.2,12849.0
2023,2.2,12216.0
2022,2.2,11271.0
2021,2.2,11122.0
2020,2.2,10139.0
2019,2.2,9605.0
2024,3,2668.0
2023,3,2495.0
2022,3,2113.0
2021,3,1918.0
2020,3,1641.0
2019,3,1714.0
2024,3.1,1599.0
2023,3.1,1461.0
2022,3.1,1243.0
2021,3.1,1109.0
2020,3.1,938.0
2019,3.1,1007.0
2024,3.2,611.0
2023,3.2,591.0
2022,3.2,522.0
2021,3.2,484.0
2020,3.2,433.0
2019,3.2,380.0
2024,3.3,39.0
2023,3.3,35.0
2022,3.3,33.0
2021,3.3,31.0
2020,3.3,33.0
2019,3.3,50.0
2024,3.4,98.0
2023,3.4,113.0
2022,3.4,73.0
2021,3.4,76.0
2020,3.4,57.0
2019,3.4,79.0
2024,3.5,321.0
2023,3.5,295.0
2022,3.5,242.0
2021,3.5,218.0
2020,3.5,180.0
2019,3.5,198.0
2024,4,688.0
2023,4,669.0
2022,4,759.0
2021,4,809.0
2020,4,668.0
2019,4,718.0
2024,5,60030.0
2023,5,55654.0
2022,5,49712.0
2021,5,43272.0
2020,5,38932.0
2019,5,47093.0
2024,5.1,28434.0
2023,5.1,26686.0
2022,5.1,23288.0
2021,5.1,19862.0
2020,5.1,17530.0
2019,5.1,23999.0
2024,5.2,5263.0
2023,5.2,4811.0
2022,5.2,4379.0
2021,5.2,3631.0
2020,5.2,3815.0
2019,5.2,4016.0
2024,5.2.1,1999.0
2023,5.2.1,1522.0
2022,5.2.1,1500.0
2021,5.2.1,1088.0
2020,5.2.1,1106.0
2019,5.2.1,1247.0
2024,5.2.2,1090.0
2023,5.2.2,1105.0
2022,5.2.2,1031.0
2021,5.2.2,882.0
2020,5.2.2,1028.0
2019,5.2.2,1097.0
2024,5.2.3,1342.0
2023,5.2.3,1324.0
2022,5.2.3,1008.0
2021,5.2.3,949.0
2020,5.2.3,1007.0
2019,5.2.3,967.0
2024,5.3,4181.0
2023,5.3,4269.0
2022,5.3,3918.0
2021,5.3,3554.0
2020,5.3,3305.0
2019,5.3,3360.0
2024,5.3.1,2497.0
2023,5.3.1,2526.0
2022,5.3.1,2253.0
2021,5.3.1,2122.0
2020,5.3.1,1948.0
2019,5.3.1,2071.0
2024,5.3.2,223.0
2023,5.3.2,214.0
2022,5.3.2,179.0
2021,5.3.2,204.0
2020,5.3.2,200.0
2019,5.3.2,184.0
2024,5.3.3,1059.0
2023,5.3.3,1020.0
2022,5.3.3,980.0
2021,5.3.3,737.0
2020,5.3.3,756.0
2019,5.3.3,702.0
2024,5.4,1931.0
2023,5.4,1929.0
2022,5.4,1611.0
2021,5.4,1364.0
2020,5.4,1426.0
2019,5.4,1500.0
2024,5.5,11886.0
2023,5.5,10272.0
2022,5.5,9240.0
2021,5.5,7786.0
2020,5.5,6470.0
2019,5.5,7349.0
2024,5.5.1,6955.0
2023,5.5.1,5966.0
2022,5.5.1,4987.0
2021,5.5.1,3952.0
2020,5.5.1,2992.0
2019,5.5.1,2432.0
2024,5.6,3768.0
2023,5.6,3447.0
2022,5.6,3450.0
2021,5.6,3450.0
2020,5.6,3002.0
2019,5.6,3106.0
2024,5.7,234.0
2023,5.7,105.0
2022,5.7,154.0
2021,5.7,70.0
2020,5.7,56.0
2019,5.7,181.0
2024,5.8,124.0
2023,5.8,82.0
2022,5.8,63.0
2021,5.8,36.0
2020,5.8,35.0
2019,5.8,32.0
2024,5.9,4209.0
2023,5.9,4053.0
2022,5.9,3609.0
2021,5.9,3519.0
2020,5.9,3293.0
2019,5.9,3550.0
2024,6,9487.0
2023,6,8745.0
2022,6,8281.0
2021,6,6947.0
2020,6,6337.0
2019,6,7279.0
2024,6.1,3662.0
2023,6.1,3302.0
2022,6.1,2823.0
2021,6.1,2196.0
2020,6.1,2101.0
2019,6.1,2376.0
2024,6.2,5480.0
2023,6.2,5283.0
2022,6.2,5298.0
2021,6.2,4612.0
2020,6.2,4087.0
2019,6.2,4709.0
2024,6.3,345.0
2023,6.3,160.0
2022,6.3,160.0
2021,6.3,139.0
2020,6.3,149.0
2019,6.3,194.0
2024,7,3275.0
2023,7,2967.0
2022,7,2826.0
2021,7,2193.0
2020,7,1885.0
2019,7,2183.0
2024,8,35.0
2023,8,35.0
2022,8,35.0
2021,8,39.0
2020,8,20.0
2019,8,38.0
2024,9,5756.0
2023,9,5577.0
2022,9,5284.0
2021,9,4935.0
2020,9,4366.0
2019,9,4534.0
2024,10,5697.0
2023,10,5695.0
2022,10,5444.0
2021,10,5691.0
2020,10,5599.0
2019,10,4349.0
2024,11,51.0
2023,11,25.0
2022,11,9.0
2021,11,18.0
2020,11,9.0
2019,11,19.0
2024,12,820.0
2023,12,761.0
2022,12,666.0
2021,12,550.0
2020,12,586.0
2019,12,670.0
2024,TOTAL,135526.0
2023,TOTAL,127310.0
2022,TOTAL,116796.0
2021,TOTAL,104775.0
2020,TOTAL,94485.0
2019,TOTAL,104461.0
