year,crime_code,age,sex,count
2019,1,14-17,M,804.0
2019,1,14-17,F,171.0
2019,1,18-30,M,4606.0
2019,1,18-30,F,798.0
2019,1,31-40,M,3898.0
2019,1,31-40,F,695.0
2019,1,41-64,M,4336.0
2019,1,41-64,F,662.0
2019,1,65+,M,297.0
2019,1,65+,F,33.0
2019,1.1,14-17,M,4.0
2019,1.1,14-17,F,1.0
2019,1.1,18-30,M,71.0
2019,1.1,18-30,F,4.0
2019,1.1,31-40,M,22.0
2019,1.1,31-40,F,1.0
2019,1.1,41-64,M,23.0
2019,1.1,41-64,F,2.0
2019,1.1,65+,M,1.0
2019,1.1,65+,F,0.0
2019,1.1.1,14-17,M,0.0
2019,1.1.1,14-17,F,0.0
2019,1.1.1,18-30,M,13.0
2019,1.1.1,18-30,F,1.0
2019,1.1.1,31-40,M,5.0
2019,1.1.1,31-40,F,0.0
2019,1.1.1,41-64,M,7.0
2019,1.1.1,41-64,F,0.0
2019,1.1.1,65+,M,0.0
2019,1.1.1,65+,F,0.0
2019,1.2,14-17,M,364.0
2019,1.2,14-17,F,57.0
2019,1.2,18-30,M,1380.0
2019,1.2,18-30,F,200.0
2019,1.2,31-40,M,701.0
2019,1.2,31-40,F,154.0
2019,1.2,41-64,M,731.0
2019,1.2,41-64,F,144.0
2019,1.2,65+,M,66.0
2019,1.2,65+,F,17.0
2019,1.3,14-17,M,337.0
2019,1.3,14-17,F,99.0
2019,1.3,18-30,M,2911.0
2019,1.3,18-30,F,573.0
2019,1.3,31-40,M,3108.0
2019,1.3,31-40,F,512.0
2019,1.3,41-64,M,3518.0
2019,1.3,41-64,F,505.0
2019,1.3,65+,M,226.0
2019,1.3,65+,F,14.0
2019,1.4,14-17,M,99.0
2019,1.4,14-17,F,14.0
2019,1.4,18-30,M,244.0
2019,1.4,18-30,F,21.0
2019,1.4,31-40,M,67.0
2019,1.4,31-40,F,28.0
2019,1.4,41-64,M,64.0
2019,1.4,41-64,F,11.0
2019,1.4,65+,M,4.0
2019,1.4,65+,F,2.0
2019,2,14-17,M,264.0
2019,2,14-17,F,48.0
2019,2,18-30,M,1040.0
2019,2,18-30,F,201.0
2019,2,31-40,M,900.0
2019,2,31-40,F,166.0
2019,2,41-64,M,1263.0
2019,2,41-64,F,252.0
2019,2,65+,M,124.0
2019,2,65+,F,20.0
2019,2.1,14-17,M,40.0
2019,2.1,14-17,F,3.0
2019,2.1,18-30,M,185.0
2019,2.1,18-30,F,25.0
2019,2.1,31-40,M,221.0
2019,2.1,31-40,F,23.0
2019,2.1,41-64,M,285.0
2019,2.1,41-64,F,28.0
2019,2.1,65+,M,23.0
2019,2.1,65+,F,0.0
2019,2.2,14-17,M,224.0
2019,2.2,14-17,F,45.0
2019,2.2,18-30,M,855.0
2019,2.2,18-30,F,176.0
2019,2.2,31-40,M,679.0
2019,2.2,31-40,F,143.0
2019,2.2,41-64,M,978.0
2019,2.2,41-64,F,224.0
2019,2.2,65+,M,101.0
2019,2.2,65+,F,20.0
2019,3,14-17,M,93.0
2019,3,14-17,F,1.0
2019,3,18-30,M,401.0
2019,3,18-30,F,8.0
2019,3,31-40,M,278.0
2019,3,31-40,F,0.0
2019,3,41-64,M,383.0
2019,3,41-64,F,3.0
2019,3,65+,M,85.0
2019,3,65+,F,2.0
2019,3.1,14-17,M,39.0
2019,3.1,14-17,F,0.0
2019,3.1,18-30,M,219.0
2019,3.1,18-30,F,2.0
2019,3.1,31-40,M,155.0
2019,3.1,31-40,F,0.0
2019,3.1,41-64,M,223.0
2019,3.1,41-64,F,2.0
2019,3.1,65+,M,66.0
2019,3.1,65+,F,1.0
2019,3.2,14-17,M,23.0
2019,3.2,14-17,F,0.0
2019,3.2,18-30,M,130.0
2019,3.2,18-30,F,2.0
2019,3.2,31-40,M,69.0
2019,3.2,31-40,F,0.0
2019,3.2,41-64,M,84.0
2019,3.2,41-64,F,0.0
2019,3.2,65+,M,5.0
2019,3.2,65+,F,0.0
2019,3.3,14-17,M,3.0
2019,3.3,14-17,F,0.0
2019,3.3,18-30,M,10.0
2019,3.3,18-30,F,2.0
2019,3.3,31-40,M,5.0
2019,3.3,31-40,F,0.0
2019,3.3,41-64,M,7.0
2019,3.3,41-64,F,0.0
2019,3.3,65+,M,1.0
2019,3.3,65+,F,0.0
2019,3.4,14-17,M,22.0
2019,3.4,14-17,F,0.0
2019,3.4,18-30,M,15.0
2019,3.4,18-30,F,0.0
2019,3.4,31-40,M,12.0
2019,3.4,31-40,F,0.0
2019,3.4,41-64,M,27.0
2019,3.4,41-64,F,1.0
2019,3.4,65+,M,2.0
2019,3.4,65+,F,1.0
2019,3.5,14-17,M,6.0
2019,3.5,14-17,F,1.0
2019,3.5,18-30,M,27.0
2019,3.5,18-30,F,2.0
2019,3.5,31-40,M,37.0
2019,3.5,31-40,F,0.0
2019,3.5,41-64,M,42.0
2019,3.5,41-64,F,0.0
2019,3.5,65+,M,11.0
2019,3.5,65+,F,0.0
2019,4,14-17,M,0.0
2019,4,14-17,F,0.0
2019,4,18-30,M,11.0
2019,4,18-30,F,20.0
2019,4,31-40,M,38.0
2019,4,31-40,F,35.0
2019,4,41-64,M,43.0
2019,4,41-64,F,18.0
2019,4,65+,M,9.0
2019,4,65+,F,1.0
2019,5,14-17,M,2589.0
2019,5,14-17,F,611.0
2019,5,18-30,M,9675.0
2019,5,18-30,F,3889.0
2019,5,31-40,M,6143.0
2019,5,31-40,F,2270.0
2019,5,41-64,M,5428.0
2019,5,41-64,F,2496.0
2019,5,65+,M,469.0
2019,5,65+,F,275.0
2019,5.1,14-17,M,753.0
2019,5.1,14-17,F,457.0
2019,5.1,18-30,M,4634.0
2019,5.1,18-30,F,2979.0
2019,5.1,31-40,M,3506.0
2019,5.1,31-40,F,1728.0
2019,5.1,41-64,M,3148.0
2019,5.1,41-64,F,1961.0
2019,5.1,65+,M,325.0
2019,5.1,65+,F,242.0
2019,5.2,14-17,M,372.0
2019,5.2,14-17,F,16.0
2019,5.2,18-30,M,1524.0
2019,5.2,18-30,F,127.0
2019,5.2,31-40,M,923.0
2019,5.2,31-40,F,102.0
2019,5.2,41-64,M,603.0
2019,5.2,41-64,F,50.0
2019,5.2,65+,M,23.0
