year,crime_code,crime_count
2024,1,36458.0
2023,1,34880.0
2022,1,33243.0
2021,1,29383.0
2020,1,25967.0
2019,1,29288.0
2024,1.1,176.0
2023,1.1,206.0
2022,1.1,183.0
2021,1.1,131.0
2020,1.1,136.0
2019,1.1,110.0
2024,1.1.1,21.0
2023,1.1.1,33.0
2022,1.1.1,46.0
2021,1.1.1,37.0
2020,1.1.1,38.0
2019,1.1.1,32.0
2024,1.2,14141.0
2023,1.2,13662.0
2022,1.2,13585.0
2021,1.2,12094.0
2020,1.2,10596.0
2019,1.2,13704.0
2024,1.3,21237.0
2023,1.3,20263.0
2022,1.3,18839.0
2021,1.3,16618.0
2020,1.3,14809.0
2019,1.3,14907.0
2024,1.4,904.0
2023,1.4,749.0
2022,1.4,636.0
2021,1.4,540.0
2020,1.4,426.0
2019,1.4,567.0
2024,2,19476.0
2023,2,18647.0
2022,2,17369.0
2021,2,17576.0
2020,2,15636.0
2019,2,15655.0
2024,2.1,1326.0
2023,2.1,1347.0
2022,2.1,1183.0
2021,2.1,1284.0
2020,2.1,1104.0
2019,2.1,1223.0
2024,2.2,18150.0
2023,2.2,17300.0
2022,2.2,16186.0
2021,2.2,16292.0
2020,2.2,14532.0
2019,2.2,14432.0
2024,3,3212.0
2023,3,3066.0
2022,3,2663.0
2021,3,2420.0
2020,3,1976.0
2019,3,2215.0
2024,3.1,1940.0
2023,3.1,1804.0
2022,3.1,1578.0
2021,3.1,1390.0
2020,3.1,1084.0
2019,3.1,1292.0
2024,3.2,665.0
2023,3.2,649.0
2022,3.2,613.0
2021,3.2,538.0
2020,3.2,473.0
2019,3.2,455.0
2024,3.3,56.0
2023,3.3,50.0
2022,3.3,43.0
2021,3.3,46.0
2020,3.3,46.0
2019,3.3,55.0
2024,3.4,124.0
2023,3.4,135.0
2022,3.4,88.0
2021,3.4,104.0
2020,3.4,95.0
2019,3.4,108.0
2024,3.5,427.0
2023,3.5,428.0
2022,3.5,341.0
2021,3.5,342.0
2020,3.5,278.0
2019,3.5,305.0
2024,4,747.0
2023,4,723.0
2022,4,862.0
2021,4,930.0
2020,4,754.0
2019,4,822.0
2024,5,306730.0
2023,5,323394.0
2022,5,319089.0
2021,5,269675.0
2020,5,243275.0
2019,5,337836.0
2024,5.1,117488.0
2023,5.1,128366.0
2022,5.1,132920.0
2021,5.1,108778.0
2020,5.1,92213.0
2019,5.1,154169.0
2024,5.2,40866.0
2023,5.2,41106.0
2022,5.2,39960.0
2021,5.2,33408.0
2020,5.2,31715.0
2019,5.2,47391.0
2024,5.2.1,23193.0
2023,5.2.1,21961.0
2022,5.2.1,21974.0
2021,5.2.1,17229.0
2020,5.2.1,15947.0
2019,5.2.1,24125.0
2024,5.2.2,8805.0
2023,5.2.2,9336.0
2022,5.2.2,9518.0
2021,5.2.2,8243.0
2020,5.2.2,7052.0
2019,5.2.2,11469.0
2024,5.2.3,4518.0
2023,5.2.3,4998.0
2022,5.2.3,4034.0
2021,5.2.3,3940.0
2020,5.2.3,4972.0
2019,5.2.3,6462.0
2024,5.3,11074.0
2023,5.3,12015.0
2022,5.3,12626.0
2021,5.3,12153.0
2020,5.3,10688.0
2019,5.3,15372.0
2024,5.3.1,7613.0
2023,5.3.1,8252.0
2022,5.3.1,8560.0
2021,5.3.1,8283.0
2020,5.3.1,7362.0
2019,5.3.1,10896.0
2024,5.3.2,580.0
2023,5.3.2,646.0
2022,5.3.2,582.0
2021,5.3.2,721.0
2020,5.3.2,633.0
2019,5.3.2,871.0
2024,5.3.3,1474.0
2023,5.3.3,1495.0
2022,5.3.3,1661.0
2021,5.3.3,1277.0
2020,5.3.3,1304.0
2019,5.3.3,1595.0
2024,5.4,6946.0
2023,5.4,7061.0
2022,5.4,7397.0
2021,5.4,6922.0
2020,5.4,6235.0
2019,5.4,8030.0
2024,5.5,85927.0
2023,5.5,90148.0
2022,5.5,80979.0
2021,5.5,66395.0
2020,5.5,64133.0
2019,5.5,62020.0
2024,5.5.1,65361.0
2023,5.5.1,71534.0
2022,5.5.1,57794.0
2021,5.5.1,46978.0
2020,5.5.1,44139.0
2019,5.5.1,32841.0
2024,5.6,33695.0
2023,5.6,34276.0
2022,5.6,35696.0
2021,5.6,34336.0
2020,5.6,31429.0
2019,5.6,42315.0
2024,5.7,225.0
2023,5.7,119.0
2022,5.7,183.0
2021,5.7,93.0
2020,5.7,76.0
2019,5.7,202.0
2024,5.8,111.0
2023,5.8,81.0
2022,5.8,73.0
2021,5.8,47.0
2020,5.8,42.0
2019,5.8,35.0
2024,5.9,10398.0
2023,5.9,10222.0
2022,5.9,9255.0
2021,5.9,7543.0
