year,crime_code,age,sex,count
2019,1,0-13,M,534.0
2019,1,0-13,F,364.0
2019,1,0-13,U,1.0
2019,1,14-17,M,696.0
2019,1,14-17,F,690.0
2019,1,14-17,U,1.0
2019,1,18-30,M,3752.0
2019,1,18-30,F,5258.0
2019,1,18-30,U,8.0
2019,1,31-40,M,2813.0
2019,1,31-40,F,4621.0
2019,1,31-40,U,13.0
2019,1,41-64,M,4263.0
2019,1,41-64,F,5221.0
2019,1,41-64,U,14.0
2019,1,65+,M,579.0
2019,1,65+,F,676.0
2019,1,65+,U,2.0
2019,1,U,M,45.0
2019,1,U,F,19.0
2019,1,U,U,7.0
2019,1.1,0-13,M,1.0
2019,1.1,0-13,F,2.0
2019,1.1,0-13,U,0.0
2019,1.1,14-17,M,0.0
2019,1.1,14-17,F,0.0
2019,1.1,14-17,U,0.0
2019,1.1,18-30,M,30.0
2019,1.1,18-30,F,9.0
2019,1.1,18-30,U,1.0
2019,1.1,31-40,M,17.0
2019,1.1,31-40,F,6.0
2019,1.1,31-40,U,0.0
2019,1.1,41-64,M,17.0
2019,1.1,41-64,F,8.0
2019,1.1,41-64,U,0.0
2019,1.1,65+,M,8.0
2019,1.1,65+,F,5.0
2019,1.1,65+,U,0.0
2019,1.1,U,M,4.0
2019,1.1,U,F,1.0
2019,1.1,U,U,1.0
2019,1.1.1,0-13,M,1.0
2019,1.1.1,0-13,F,0.0
2019,1.1.1,0-13,U,0.0
2019,1.1.1,14-17,M,0.0
2019,1.1.1,14-17,F,0.0
2019,1.1.1,14-17,U,0.0
2019,1.1.1,18-30,M,4.0
2019,1.1.1,18-30,F,4.0
2019,1.1.1,18-30,U,0.0
2019,1.1.1,31-40,M,1.0
2019,1.1.1,31-40,F,4.0
2019,1.1.1,31-40,U,0.0
2019,1.1.1,41-64,M,6.0
2019,1.1.1,41-64,F,3.0
2019,1.1.1,41-64,U,0.0
2019,1.1.1,65+,M,5.0
2019,1.1.1,65+,F,3.0
2019,1.1.1,65+,U,0.0
2019,1.1.1,U,M,0.0
2019,1.1.1,U,F,1.0
2019,1.1.1,U,U,0.0
2019,1.2,0-13,M,264.0
2019,1.2,0-13,F,137.0
2019,1.2,0-13,U,1.0
2019,1.2,14-17,M,563.0
2019,1.2,14-17,F,295.0
2019,1.2,14-17,U,0.0
2019,1.2,18-30,M,2969.0
2019,1.2,18-30,F,1322.0
2019,1.2,18-30,U,0.0
2019,1.2,31-40,M,2159.0
2019,1.2,31-40,F,989.0
2019,1.2,31-40,U,2.0
2019,1.2,41-64,M,3149.0
2019,1.2,41-64,F,1507.0
2019,1.2,41-64,U,8.0
2019,1.2,65+,M,362.0
2019,1.2,65+,F,208.0
2019,1.2,65+,U,2.0
2019,1.2,U,M,27.0
2019,1.2,U,F,8.0
2019,1.2,U,U,5.0
2019,1.3,0-13,M,254.0
2019,1.3,0-13,F,211.0
2019,1.3,0-13,U,0.0
2019,1.3,14-17,M,121.0
2019,1.3,14-17,F,384.0
2019,1.3,14-17,U,1.0
2019,1.3,18-30,M,688.0
2019,1.3,18-30,F,3860.0
2019,1.3,18-30,U,6.0
2019,1.3,31-40,M,585.0
2019,1.3,31-40,F,3583.0
2019,1.3,31-40,U,11.0
2019,1.3,41-64,M,971.0
2019,1.3,41-64,F,3615.0
2019,1.3,41-64,U,6.0
2019,1.3,65+,M,188.0
2019,1.3,65+,F,447.0
2019,1.3,65+,U,0.0
2019,1.3,U,M,12.0
2019,1.3,U,F,9.0
2019,1.3,U,U,0.0
2019,1.4,0-13,M,15.0
2019,1.4,0-13,F,14.0
2019,1.4,0-13,U,0.0
2019,1.4,14-17,M,12.0
2019,1.4,14-17,F,11.0
2019,1.4,14-17,U,0.0
2019,1.4,18-30,M,65.0
2019,1.4,18-30,F,67.0
2019,1.4,18-30,U,1.0
2019,1.4,31-40,M,52.0
2019,1.4,31-40,F,43.0
2019,1.4,31-40,U,0.0
2019,1.4,41-64,M,126.0
2019,1.4,41-64,F,91.0
2019,1.4,41-64,U,0.0
2019,1.4,65+,M,21.0
2019,1.4,65+,F,16.0
2019,1.4,65+,U,0.0
2019,1.4,U,M,2.0
2019,1.4,U,F,1.0
2019,1.4,U,U,1.0
2019,2,0-13,M,150.0
2019,2,0-13,F,157.0
2019,2,0-13,U,0.0
2019,2,14-17,M,342.0
2019,2,14-17,F,344.0
2019,2,14-17,U,0.0
2019,2,18-30,M,1649.0
2019,2,18-30,F,1942.0
2019,2,18-30,U,2.0
2019,2,31-40,M,1857.0
2019,2,31-40,F,1878.0
2019,2,31-40,U,2.0
2019,2,41-64,M,3378.0
2019,2,41-64,F,2906.0
2019,2,41-64,U,17.0
2019,2,65+,M,503.0
2019,2,65+,F,434.0
2019,2,65+,U,6.0
2019,2,U,M,61.0
2019,2,U,F,27.0
2019,2,U,U,6.0
2019,2.1,0-13,M,24.0
2019,2.1,0-13,F,20.0
2019,2.1,0-13,U,0.0
2019,2.1,14-17,M,19.0
2019,2.1,14-17,F,37.0
2019,2.1,14-17,U,0.0
2019,2.1,18-30,M,39.0
2019,2.1,18-30,F,252.0
2019,2.1,18-30,U,1.0
2019,2.1,31-40,M,24.0
2019,2.1,31-40,F,318.0
2019,2.1,31-40,U,1.0
2019,2.1,41-64,M,67.0
2019,2.1,41-64,F,332.0
2019,2.1,41-64,U,0.0
2019,2.1,65+,M,24.0
2019,2.1,65+,F,63.0
2019,2.1,65+,U,0.0
2019,2.1,U,M,1.0
2019,2.1,U,F,2.0
2019,2.1,U,U,0.0
2019,2.2,0-13,M,126.0
2019,2.2,0-13,F,137.0
2019,2.2,0-13,U,0.0
2019,2.2,14-17,M,323.0
2019,2.2,14-17,F,307.0
2019,2.2,14-17,U,0.0
2019,2.2,18-30,M,1610.0
2019,2.2,18-30,F,1690.0
2019,2.2,18-30,U,1.0
2019,2.2,31-40,M,1833.0
2019,2.2,31-40,F,1560.0
2019,2.2,31-40,U,1.0
2019,2.2,41-64,M,3311.0
2019,2.2,41-64,F,2574.0
2019,2.2,41-64,U,17.0
2019,2.2,65+,M,479.0
2019,2.2,65+,F,371.0
2019,2.2,65+,U,6.0
2019,2.2,U,M,60.0
2019,2.2,U,F,25.0
2019,2.2,U,U,6.0
2019,3,0-13,M,134.0
2019,3,0-13,F,356.0
2019,3,0-13,U,2.0
2019,3,14-17,M,102.0
2019,3,14-17,F,453.0
2019,3,14-17,U,0.0
2019,3,18-30,M,71.0
2019,3,18-30,F,663.0
2019,3,18-30,U,0.0
2019,3,31-40,M,26.0
2019,3,31-40,F,224.0
2019,3,31-40,U,1.0
2019,3,41-64,M,21.0
2019,3,41-64,F,170.0
2019,3,41-64,U,0.0
2019,3,65+,M,2.0
2019,3,65+,F,12.0
2019,3,65+,U,0.0
2019,3,U,M,1.0
2019,3,U,F,8.0
2019,3,U,U,0.0
2019,3.1,0-13,M,61.0
2019,3.1,0-13,F,230.0
2019,3.1,0-13,U,0.0
2019,3.1,14-17,M,63.0
2019,3.1,14-17,F,247.0
2019,3.1,14-17,U,0.0
2019,3.1,18-30,M,46.0
2019,3.1,18-30,F,424.0
2019,3.1,18-30,U,0.0
2019,3.1,31-40,M,13.0
2019,3.1,31-40,F,145.0
2019,3.1,31-40,U,0.0
2019,3.1,41-64,M,14.0
2019,3.1,41-64,F,109.0
2019,3.1,41-64,U,0.0
2019,3.1,65+,M,0.0
2019,3.1,65+,F,12.0
2019,3.1,65+,U,0.0
2019,3.1,U,M,1.0
2019,3.1,U,F,3.0
2019,3.1,U,U,0.0
2019,3.2,0-13,M,12.0
2019,3.2,0-13,F,31.0
2019,3.2,0-13,U,0.0
2019,3.2,14-17,M,5.0
2019,3.2,14-17,F,108.0
2019,3.2,14-17,U,0.0
2019,3.2,18-30,M,19.0
2019,3.2,18-30,F,182.0
2019,3.2,18-30,U,0.0
2019,3.2,31-40,M,7.0
2019,3.2,31-40,F,57.0
2019,3.2,31-40,U,1.0
2019,3.2,41-64,M,1.0
2019,3.2,41-64,F,44.0
2019,3.2,41-64,U,0.0
2019,3.2,65+,M,0.0
2019,3.2,65+,F,0.0
2019,3.2,65+,U,0.0
2019,3.2,U,M,0.0
2019,3.2,U,F,1.0
2019,3.2,U,U,0.0
2019,3.3,0-13,M,7.0
2019,3.3,0-13,F,11.0
2019,3.3,0-13,U,0.0
2019,3.3,14-17,M,15.0
2019,3.3,14-17,F,20.0
2019,3.3,14-17,U,0.0
2019,3.3,18-30,M,4.0
2019,3.3,18-30,F,2.0
2019,3.3,18-30,U,0.0
2019,3.3,31-40,M,1.0
2019,3.3,31-40,F,0.0
2019,3.3,31-40,U,0.0
2019,3.3,41-64,M,1.0
2019,3.3,41-64,F,1.0
2019,3.3,41-64,U,0.0
2019,3.3,65+,M,1.0
2019,3.3,65+,F,0.0
2019,3.3,65+,U,0.0
2019,3.3,U,M,0.0
2019,3.3,U,F,2.0
2019,3.3,U,U,0.0
2019,3.4,0-13,M,5.0
2019,3.4,0-13,F,7.0
2019,3.4,0-13,U,0.0
2019,3.4,14-17,M,5.0
2019,3.4,14-17,F,1.0
2019,3.4,14-17,U,0.0
2019,3.4,18-30,M,1.0
2019,3.4,18-30,F,0.0
2019,3.4,18-30,U,0.0
2019,3.4,31-40,M,1.0
2019,3.4,31-40,F,0.0
2019,3.4,31-40,U,0.0
2019,3.4,41-64,M,1.0
2019,3.4,41-64,F,4.0
2019,3.4,41-64,U,0.0
2019,3.4,65+,M,0.0
2019,3.4,65+,F,0.0
2019,3.4,65+,U,0.0
2019,3.4,U,M,0.0
2019,3.4,U,F,0.0
2019,3.4,U,U,0.0
2019,3.5,0-13,M,49.0
2019,3.5,0-13,F,77.0
