code,name_en,level,parent_code,violence
TOTAL,Total criminal offences,0,,total
1,Offences against persons,1,TOTAL,violent
1.1,Intentional homicide and murder,2,1,violent
1.1.1,Completed intentional homicide and murder,3,1.1,violent
1.2,Bodily injury,2,1,violent
1.3,Domestic violence in the family setting,2,1,violent
1.4,Other offences against persons,2,1,violent
2,Offences against personal liberty,1,TOTAL,violent
2.1,Habitual domestic abuse,2,2,violent
2.2,Other offences against personal liberty,2,2,violent
3,Offences against sexual freedom,1,TOTAL,violent
3.1,Sexual assault,2,3,violent
3.2,Sexual assault with penetration,2,3,violent
3.3,Corruption of minors,2,3,violent
3.4,Child pornography,2,3,violent
3.5,Other offences against sexual freedom,2,3,violent
4,Offences against family relations,1,TOTAL,unclassified
5,Property offences,1,TOTAL,non_violent
5.1,Theft,2,5,non_violent
5.2,Burglary involving forced entry,2,5,non_violent
5.2.1,Theft from vehicles by forced entry,3,5.2,non_violent
5.2.2,Domestic burglary,3,5.2,non_violent
5.2.3,Burglary of commercial premises,3,5.2,non_violent
5.3,Robbery with violence or intimidation,2,5,violent
5.3.1,Street robbery,3,5.3,violent
5.3.2,Robbery in dwellings,3,5.3,violent
5.3.3,Robbery of commercial premises,3,5.3,violent
5.4,Vehicle theft,2,5,non_violent
5.5,Fraud,2,5,non_violent
5.5.1,Computer enabled fraud,3,5.5,non_violent
5.6,Criminal damage,2,5,non_violent
5.7,Offences against intellectual and industrial property,2,5,non_violent
5.8,Money laundering,2,5,non_violent
5.9,Other property offences,2,5,non_violent
6,Offences against public safety,1,TOTAL,non_violent
6.1,Drug trafficking,2,6,non_violent
6.2,Road safety offences,2,6,non_violent
6.3,Other offences against public safety,2,6,non_violent
7,Forgery offences,1,TOTAL,non_violent
8,Offences against the public administration,1,TOTAL,non_violent
9,Offences against the administration of justice,1,TOTAL,non_violent
10,Offences against public order,1,TOTAL,non_violent
11,Offences under special legislation,1,TOTAL,non_violent
12,Other criminal offences,1,TOTAL,unclassified
