ine_code,year,crime_code,denominator,offences,denom_value,rate,rate_per_1000,rate_per_100000
28005,2019,BURGLARY,population,377,195649.00,0.00192692,1.9269,192.6920
28005,2019,DRUG_TRAFFICKING,population,49,195649.00,0.00025045,0.2504,25.0449
28005,2019,HOM_ATTEMPTED,population,3,195649.00,0.00001533,0.0153,1.5334
28005,2019,HOM_COMPLETED,population,1,195649.00,0.00000511,0.0051,0.5111
28005,2019,INJURY,population,52,195649.00,0.00026578,0.2658,26.5782
28005,2019,KIDNAPPING,population,0,195649.00,0.00000000,0.0000,0.0000
28005,2019,OTHER,population,6135,195649.00,0.03135718,31.3572,3135.7175
28005,2019,ROBBERY_VIOLENT,population,217,195649.00,0.00110913,1.1091,110.9129
28005,2019,SEXUAL,population,40,195649.00,0.00020445,0.2044,20.4448
28005,2019,THEFT,population,2738,195649.00,0.01399445,13.9944,1399.4449
28005,2019,VEHICLE_THEFT,population,232,195649.00,0.00118580,1.1858,118.5797
28005,2020,BURGLARY,population,294,197562.00,0.00148814,1.4881,148.8140
28005,2020,DRUG_TRAFFICKING,population,40,197562.00,0.00020247,0.2025,20.2468
28005,2020,HOM_ATTEMPTED,population,1,197562.00,0.00000506,0.0051,0.5062
28005,2020,HOM_COMPLETED,population,1,197562.00,0.00000506,0.0051,0.5062
28005,2020,INJURY,population,43,197562.00,0.00021765,0.2177,21.7653
28005,2020,KIDNAPPING,population,1,197562.00,0.00000506,0.0051,0.5062
28005,2020,OTHER,population,5444,197562.00,0.02755591,27.5559,2755.5907
28005,2020,ROBBERY_VIOLENT,population,150,197562.00,0.00075926,0.7593,75.9255
28005,2020,SEXUAL,population,49,197562.00,0.00024802,0.2480,24.8023
28005,2020,THEFT,population,1833,197562.00,0.00927810,9.2781,927.8100
28005,2020,VEHICLE_THEFT,population,167,197562.00,0.00084530,0.8453,84.5304
28005,2021,BURGLARY,population,376,195982.00,0.00191854,1.9185,191.8544
28005,2021,DRUG_TRAFFICKING,population,28,195982.00,0.00014287,0.1429,14.2870
28005,2021,HOM_ATTEMPTED,population,8,195982.00,0.00004082,0.0408,4.0820
28005,2021,HOM_COMPLETED,population,1,195982.00,0.00000510,0.0051,0.5103
28005,2021,INJURY,population,66,195982.00,0.00033677,0.3368,33.6766
28005,2021,KIDNAPPING,population,1,195982.00,0.00000510,0.0051,0.5103
28005,2021,OTHER,population,6170,195982.00,0.03148248,31.4825,3148.2483
28005,2021,ROBBERY_VIOLENT,population,232,195982.00,0.00118378,1.1838,118.3782
28005,2021,SEXUAL,population,51,195982.00,0.00026023,0.2602,26.0228
28005,2021,THEFT,population,2483,195982.00,0.01266953,12.6695,1266.9531
28005,2021,VEHICLE_THEFT,population,222,195982.00,0.00113276,1.1328,113.2757
28005,2022,BURGLARY,population,359,196888.00,0.00182337,1.8234,182.3372
28005,2022,DRUG_TRAFFICKING,population,42,196888.00,0.00021332,0.2133,21.3319
28005,2022,HOM_ATTEMPTED,population,6,196888.00,0.00003047,0.0305,3.0474
28005,2022,HOM_COMPLETED,population,1,196888.00,0.00000508,0.0051,0.5079
28005,2022,INJURY,population,86,196888.00,0.00043680,0.4368,43.6797
28005,2022,KIDNAPPING,population,0,196888.00,0.00000000,0.0000,0.0000
28005,2022,OTHER,population,6629,196888.00,0.03366889,33.6689,3366.8888
28005,2022,ROBBERY_VIOLENT,population,212,196888.00,0.00107675,1.0768,107.6754
28005,2022,SEXUAL,population,55,196888.00,0.00027935,0.2793,27.9347
28005,2022,THEFT,population,2705,196888.00,0.01373878,13.7388,1373.8775
28005,2022,VEHICLE_THEFT,population,234,196888.00,0.00118849,1.1885,118.8493
28005,2023,BURGLARY,population,265,199184.00,0.00133043,1.3304,133.0428
28005,2023,DRUG_TRAFFICKING,population,64,199184.00,0.00032131,0.3213,32.1311
28005,2023,HOM_ATTEMPTED,population,7,199184.00,0.00003514,0.0351,3.5143
28005,2023,HOM_COMPLETED,population,1,199184.00,0.00000502,0.0050,0.5020
28005,2023,INJURY,population,86,199184.00,0.00043176,0.4318,43.1762
28005,2023,KIDNAPPING,population,0,199184.00,0.00000000,0.0000,0.0000
28005,2023,OTHER,population,6519,199184.00,0.03272853,32.7285,3272.8532
28005,2023,ROBBERY_VIOLENT,population,190,199184.00,0.00095389,0.9539,95.3892
28005,2023,SEXUAL,population,61,199184.00,0.00030625,0.3062,30.6249
28005,2023,THEFT,population,2347,199184.00,0.01178307,11.7831,1178.3075
28005,2023,VEHICLE_THEFT,population,245,199184.00,0.00123002,1.2300,123.0018
28005,2024,BURGLARY,population,314,200702.00,0.00156451,1.5645,156.4509
28005,2024,DRUG_TRAFFICKING,population,86,200702.00,0.00042850,0.4285,42.8496
28005,2024,HOM_ATTEMPTED,population,13,200702.00,0.00006477,0.0648,6.4773
28005,2024,HOM_COMPLETED,population,1,200702.00,0.00000498,0.0050,0.4983
28005,2024,INJURY,population,63,200702.00,0.00031390,0.3139,31.3898
28005,2024,KIDNAPPING,population,0,200702.00,0.00000000,0.0000,0.0000
28005,2024,OTHER,population,6570,200702.00,0.03273510,32.7351,3273.5100
28005,2024,ROBBERY_VIOLENT,population,217,200702.00,0.00108120,1.0812,108.1205
28005,2024,SEXUAL,population,68,200702.00,0.00033881,0.3388,33.8811
28005,2024,THEFT,population,2209,200702.00,0.01100637,11.0064,1100.6368
28005,2024,VEHICLE_THEFT,population,224,200702.00,0.00111608,1.1161,111.6083
