ine_code,year,population,total,violent,non_violent,unclassified,crime_types_count,violent_ratio,violent_share,unclassified_share,shannon,shannon_normalised
28005,2019,195649,9844,313,3396,6135,10,0.092167,0.084389,0.623222,1.027835,0.446383
28005,2020,197562,8023,245,2334,5444,11,0.104970,0.094998,0.678549,0.965558,0.402669
28005,2021,195982,9638,359,3109,6170,11,0.115471,0.103518,0.640174,1.024673,0.427322
28005,2022,196888,10329,360,3340,6629,10,0.107784,0.097297,0.641785,1.013197,0.440026
28005,2023,199184,9785,345,2921,6519,10,0.118110,0.105634,0.666224,0.991899,0.430776
28005,2024,200702,9765,362,2833,6570,10,0.127780,0.113302,0.672811,1.003115,0.435647
28005,2025,203208,9888,309,2924,6655,11,0.105677,0.095577,0.673038,0.993520,0.414330
28006,2019,117040,5492,211,1989,3292,9,0.106083,0.095909,0.599417,1.160626,0.528223
28006,2020,118417,4292,158,1342,2792,9,0.117735,0.105333,0.650513,1.081030,0.491998
28006,2021,116589,4496,141,1600,2755,9,0.088125,0.080988,0.612767,1.124050,0.511577
28006,2022,117041,5258,159,1695,3404,9,0.093805,0.085761,0.647394,1.045276,0.475726
28006,2023,119416,5216,177,1597,3442,10,0.110833,0.099775,0.659893,1.048766,0.455473
28006,2024,121373,5490,164,1596,3730,10,0.102757,0.093182,0.679417,0.992043,0.430839
28006,2025,123342,5557,172,1572,3813,9,0.109415,0.098624,0.686162,0.983399,0.447564
28007,2019,170514,6821,310,2707,3804,9,0.114518,0.102751,0.557689,1.087935,0.495141
28007,2020,172384,5871,267,2133,3471,10,0.125176,0.111250,0.591211,1.073415,0.466178
28007,2021,170817,6981,317,2551,4113,10,0.124265,0.110530,0.589171,1.066940,0.463366
28007,2022,170296,7750,275,2943,4532,11,0.093442,0.085457,0.584774,1.016771,0.424026
28007,2023,171772,7579,279,2890,4410,9,0.096540,0.088040,0.581871,1.030557,0.469027
28007,2024,173625,6983,240,2795,3948,9,0.085868,0.079077,0.565373,1.039558,0.473123
28007,2025,175719,7234,284,3014,3936,9,0.094227,0.086113,0.544097,1.089233,0.495731
28009,2019,20611,771,19,202,550,7,0.094059,0.085973,0.713359,0.883043,0.453795
28009,2020,20864,549,15,126,408,8,0.119048,0.106383,0.743169,0.851472,0.409472
28009,2021,20749,705,17,186,502,8,0.091398,0.083744,0.712057,0.932604,0.448488
28009,2022,20767,881,15,237,629,8,0.063291,0.059524,0.713961,0.891674,0.428805
28009,2023,20991,919,22,235,662,8,0.093617,0.085603,0.720348,0.918434,0.441674
28009,2024,21167,870,36,177,657,7,0.203390,0.169014,0.755172,0.858596,0.441231
28009,2025,21144,910,19,186,705,8,0.102151,0.092683,0.774725,0.789641,0.379737
28013,2019,59607,2303,62,735,1506,10,0.084354,0.077792,0.653930,1.020927,0.443383
28013,2020,60332,2107,58,578,1471,8,0.100346,0.091195,0.698149,0.926307,0.445459
28013,2021,59833,2208,68,678,1462,9,0.100295,0.091153,0.662138,0.965304,0.439329
28013,2022,59762,2865,71,860,1934,9,0.082558,0.076262,0.675044,0.927303,0.422034
28013,2023,60668,2858,74,809,1975,10,0.091471,0.083805,0.691043,0.933692,0.405497
28013,2024,62292,2816,80,888,1848,9,0.090090,0.082645,0.656250,0.989232,0.450219
28013,2025,63040,3246,106,964,2176,9,0.109959,0.099065,0.670364,0.982535,0.447171
28014,2019,55389,3293,248,1312,1733,8,0.189024,0.158974,0.526268,1.152148,0.554066
28014,2020,56678,2246,101,514,1631,8,0.196498,0.164228,0.726180,0.935324,0.449796
28014,2021,56386,2422,119,553,1750,8,0.215190,0.177083,0.722543,0.939781,0.451939
28014,2022,57553,2964,161,900,1903,10,0.178889,0.151744,0.642038,1.027517,0.446245
