measure,year,crime_code,name_en,level,age,sex,cases,is_age_total,comparable_band,share,rate_per_10000
victims,2019,1,Offences against persons,1,0-13,M,534,f,f,0.018055,
victims,2019,1,Offences against persons,1,0-13,F,364,f,f,0.012307,
victims,2019,1,Offences against persons,1,0-13,U,1,f,f,0.000034,
victims,2019,1,Offences against persons,1,14-17,M,696,f,t,0.023532,
victims,2019,1,Offences against persons,1,14-17,F,690,f,t,0.023329,
victims,2019,1,Offences against persons,1,14-17,U,1,f,t,0.000034,
victims,2019,1,Offences against persons,1,18-30,M,3752,f,t,0.126855,
victims,2019,1,Offences against persons,1,18-30,F,5258,f,t,0.177773,
victims,2019,1,Offences against persons,1,18-30,U,8,f,t,0.000270,
victims,2019,1,Offences against persons,1,31-40,M,2813,f,t,0.095108,
victims,2019,1,Offences against persons,1,31-40,F,4621,f,t,0.156236,
victims,2019,1,Offences against persons,1,31-40,U,13,f,t,0.000440,
victims,2019,1,Offences against persons,1,41-64,M,4263,f,t,0.144132,
victims,2019,1,Offences against persons,1,41-64,F,5221,f,t,0.176522,
victims,2019,1,Offences against persons,1,41-64,U,14,f,t,0.000473,
victims,2019,1,Offences against persons,1,65+,M,579,f,t,0.019576,
victims,2019,1,Offences against persons,1,65+,F,676,f,t,0.022856,
victims,2019,1,Offences against persons,1,65+,U,2,f,t,0.000068,
victims,2019,1,Offences against persons,1,U,M,45,f,f,0.001521,
victims,2019,1,Offences against persons,1,U,F,19,f,f,0.000642,
victims,2019,1,Offences against persons,1,U,U,7,f,f,0.000237,
victims,2019,1.1,Intentional homicide and murder,2,0-13,M,1,f,f,0.009091,
victims,2019,1.1,Intentional homicide and murder,2,0-13,F,2,f,f,0.018182,
victims,2019,1.1,Intentional homicide and murder,2,0-13,U,0,f,f,0.000000,
victims,2019,1.1,Intentional homicide and murder,2,14-17,M,0,f,t,0.000000,
victims,2019,1.1,Intentional homicide and murder,2,14-17,F,0,f,t,0.000000,
victims,2019,1.1,Intentional homicide and murder,2,14-17,U,0,f,t,0.000000,
victims,2019,1.1,Intentional homicide and murder,2,18-30,M,30,f,t,0.272727,
victims,2019,1.1,Intentional homicide and murder,2,18-30,F,9,f,t,0.081818,
victims,2019,1.1,Intentional homicide and murder,2,18-30,U,1,f,t,0.009091,
victims,2019,1.1,Intentional homicide and murder,2,31-40,M,17,f,t,0.154545,
victims,2019,1.1,Intentional homicide and murder,2,31-40,F,6,f,t,0.054545,
victims,2019,1.1,Intentional homicide and murder,2,31-40,U,0,f,t,0.000000,
victims,2019,1.1,Intentional homicide and murder,2,41-64,M,17,f,t,0.154545,
victims,2019,1.1,Intentional homicide and murder,2,41-64,F,8,f,t,0.072727,
victims,2019,1.1,Intentional homicide and murder,2,41-64,U,0,f,t,0.000000,
victims,2019,1.1,Intentional homicide and murder,2,65+,M,8,f,t,0.072727,
victims,2019,1.1,Intentional homicide and murder,2,65+,F,5,f,t,0.045455,
victims,2019,1.1,Intentional homicide and murder,2,65+,U,0,f,t,0.000000,
victims,2019,1.1,Intentional homicide and murder,2,U,M,4,f,f,0.036364,
victims,2019,1.1,Intentional homicide and murder,2,U,F,1,f,f,0.009091,
victims,2019,1.1,Intentional homicide and murder,2,U,U,1,f,f,0.009091,
victims,2019,1.1.1,Completed intentional homicide and murder,3,0-13,M,1,f,f,0.031250,
victims,2019,1.1.1,Completed intentional homicide and murder,3,0-13,F,0,f,f,0.000000,
victims,2019,1.1.1,Completed intentional homicide and murder,3,0-13,U,0,f,f,0.000000,
victims,2019,1.1.1,Completed intentional homicide and murder,3,14-17,M,0,f,t,0.000000,
victims,2019,1.1.1,Completed intentional homicide and murder,3,14-17,F,0,f,t,0.000000,
victims,2019,1.1.1,Completed intentional homicide and murder,3,14-17,U,0,f,t,0.000000,
victims,2019,1.1.1,Completed intentional homicide and murder,3,18-30,M,4,f,t,0.125000,
victims,2019,1.1.1,Completed intentional homicide and murder,3,18-30,F,4,f,t,0.125000,
victims,2019,1.1.1,Completed intentional homicide and murder,3,18-30,U,0,f,t,0.000000,
victims,2019,1.1.1,Completed intentional homicide and murder,3,31-40,M,1,f,t,0.031250,
victims,2019,1.1.1,Completed intentional homicide and murder,3,31-40,F,4,f,t,0.125000,
victims,2019,1.1.1,Completed intentional homicide and murder,3,31-40,U,0,f,t,0.000000,
victims,2019,1.1.1,Completed intentional homicide and murder,3,41-64,M,6,f,t,0.187500,
victims,2019,1.1.1,Completed intentional homicide and murder,3,41-64,F,3,f,t,0.093750,
victims,2019,1.1.1,Completed intentional homicide and murder,3,41-64,U,0,f,t,0.000000,
victims,2019,1.1.1,Completed intentional homicide and murder,3,65+,M,5,f,t,0.156250,
victims,2019,1.1.1,Completed intentional homicide and murder,3,65+,F,3,f,t,0.093750,
victims,2019,1.1.1,Completed intentional homicide and murder,3,65+,U,0,f,t,0.000000,
victims,2019,1.1.1,Completed intentional homicide and murder,3,U,M,0,f,f,0.000000,
victims,2019,1.1.1,Completed intentional homicide and murder,3,U,F,1,f,f,0.031250,
victims,2019,1.1.1,Completed intentional homicide and murder,3,U,U,0,f,f,0.000000,
victims,2019,1.2,Bodily injury,2,0-13,M,264,f,f,0.018888,
victims,2019,1.2,Bodily injury,2,0-13,F,137,f,f,0.009802,
victims,2019,1.2,Bodily injury,2,0-13,U,1,f,f,0.000072,
victims,2019,1.2,Bodily injury,2,14-17,M,563,f,t,0.040280,
victims,2019,1.2,Bodily injury,2,14-17,F,295,f,t,0.021106,
victims,2019,1.2,Bodily injury,2,14-17,U,0,f,t,0.000000,
victims,2019,1.2,Bodily injury,2,18-30,M,2969,f,t,0.212420,
victims,2019,1.2,Bodily injury,2,18-30,F,1322,f,t,0.094584,
victims,2019,1.2,Bodily injury,2,18-30,U,0,f,t,0.000000,
victims,2019,1.2,Bodily injury,2,31-40,M,2159,f,t,0.154468,
victims,2019,1.2,Bodily injury,2,31-40,F,989,f,t,0.070759,
victims,2019,1.2,Bodily injury,2,31-40,U,2,f,t,0.000143,
victims,2019,1.2,Bodily injury,2,41-64,M,3149,f,t,0.225299,
victims,2019,1.2,Bodily injury,2,41-64,F,1507,f,t,0.107820,
victims,2019,1.2,Bodily injury,2,41-64,U,8,f,t,0.000572,
victims,2019,1.2,Bodily injury,2,65+,M,362,f,t,0.025900,
victims,2019,1.2,Bodily injury,2,65+,F,208,f,t,0.014882,
victims,2019,1.2,Bodily injury,2,65+,U,2,f,t,0.000143,
