year,crime_code,name_en,level,parent_code,recorded,cleared,unsolved,clearance_rate,clearance_above_one,unsolved_share_in_level
2019,TOTAL,Total criminal offences,0,,407736,104461,303275,0.256198,f,1.000000
2019,7,Forgery offences,1,TOTAL,4042,2183,1859,0.540079,f,0.006130
2019,10,Offences against public order,1,TOTAL,4428,4349,79,0.982159,f,0.000260
2019,11,Offences under special legislation,1,TOTAL,24,19,5,0.791667,f,0.000016
2019,3,Offences against sexual freedom,1,TOTAL,2215,1714,501,0.773815,f,0.001652
2019,4,Offences against family relations,1,TOTAL,822,718,104,0.873479,f,0.000343
2019,5,Property offences,1,TOTAL,337836,47093,290743,0.139396,f,0.958678
2019,12,Other criminal offences,1,TOTAL,1004,670,334,0.667331,f,0.001101
2019,1,Offences against persons,1,TOTAL,29288,25043,4245,0.855060,f,0.013997
2019,6,Offences against public safety,1,TOTAL,7696,7279,417,0.945816,f,0.001375
2019,9,Offences against the administration of justice,1,TOTAL,4671,4534,137,0.970670,f,0.000452
2019,8,Offences against the public administration,1,TOTAL,55,38,17,0.690909,f,0.000056
2019,2,Offences against personal liberty,1,TOTAL,15655,10821,4834,0.691217,f,0.015939
2019,1.3,Domestic violence in the family setting,2,1,14907,14847,60,0.995975,f,0.000200
2019,2.1,Habitual domestic abuse,2,2,1223,1216,7,0.994276,f,0.000023
2019,2.2,Other offences against personal liberty,2,2,14432,9605,4827,0.665535,f,0.016050
2019,3.1,Sexual assault,2,3,1292,1007,285,0.779412,f,0.000948
2019,3.2,Sexual assault with penetration,2,3,455,380,75,0.835165,f,0.000249
2019,3.3,Corruption of minors,2,3,55,50,5,0.909091,f,0.000017
2019,3.4,Child pornography,2,3,108,79,29,0.731481,f,0.000096
2019,3.5,Other offences against sexual freedom,2,3,305,198,107,0.649180,f,0.000356
2019,5.1,Theft,2,5,154169,23999,130170,0.155667,f,0.432832
2019,5.2,Burglary involving forced entry,2,5,47391,4016,43375,0.084742,f,0.144228
2019,5.3,Robbery with violence or intimidation,2,5,15372,3360,12012,0.218579,f,0.039941
2019,5.4,Vehicle theft,2,5,8030,1500,6530,0.186800,f,0.021713
2019,5.5,Fraud,2,5,62020,7349,54671,0.118494,f,0.181788
2019,5.6,Criminal damage,2,5,42315,3106,39209,0.073402,f,0.130375
2019,5.7,Offences against intellectual and industrial property,2,5,202,181,21,0.896040,f,0.000070
2019,5.8,Money laundering,2,5,35,32,3,0.914286,f,0.000010
2019,5.9,Other property offences,2,5,8302,3550,4752,0.427608,f,0.015801
2019,6.1,Drug trafficking,2,6,2577,2376,201,0.922002,f,0.000668
2019,6.2,Road safety offences,2,6,4873,4709,164,0.966345,f,0.000545
2019,6.3,Other offences against public safety,2,6,246,194,52,0.788618,f,0.000173
2019,1.1,Intentional homicide and murder,2,1,110,97,13,0.881818,f,0.000043
2019,1.2,Bodily injury,2,1,13704,9687,4017,0.706874,f,0.013357
2019,1.4,Other offences against persons,2,1,567,412,155,0.726631,f,0.000515
2019,5.2.1,Theft from vehicles by forced entry,3,5.2,24125,1247,22878,0.051689,f,0.287531
2019,5.3.3,Robbery of commercial premises,3,5.3,1595,702,893,0.440125,f,0.011223
2019,5.2.3,Burglary of commercial premises,3,5.2,6462,967,5495,0.149644,f,0.069061
2019,5.3.2,Robbery in dwellings,3,5.3,871,184,687,0.211251,f,0.008634
2019,5.5.1,Computer enabled fraud,3,5.5,32841,2432,30409,0.074054,f,0.382181
