ine_code,year,crime_code,crime_count
28005,2019,CONVENTIONAL,8861
28005,2019,HOM_COMPLETED,1
28005,2019,HOM_ATTEMPTED,3
28005,2019,INJURY,52
28005,2019,KIDNAPPING,0
28005,2019,SEXUAL,40
28005,2019,SEXUAL_PENETRATION,4
28005,2019,SEXUAL_OTHER,36
28005,2019,ROBBERY_VIOLENT,217
28005,2019,BURGLARY,377
28005,2019,BURGLARY_DWELLING,202
28005,2019,THEFT,2738
28005,2019,VEHICLE_THEFT,232
28005,2019,DRUG_TRAFFICKING,49
28005,2019,OTHER_CONVENTIONAL,5152
28005,2019,CYBERCRIME,983
28005,2019,CYBER_FRAUD,806
28005,2019,CYBER_OTHER,177
28005,2019,TOTAL,9844
28006,2019,CONVENTIONAL,4644
28006,2019,HOM_COMPLETED,0
28006,2019,HOM_ATTEMPTED,3
28006,2019,INJURY,32
28006,2019,KIDNAPPING,0
28006,2019,SEXUAL,42
28006,2019,SEXUAL_PENETRATION,7
28006,2019,SEXUAL_OTHER,35
28006,2019,ROBBERY_VIOLENT,134
28006,2019,BURGLARY,387
28006,2019,BURGLARY_DWELLING,215
28006,2019,THEFT,1343
28006,2019,VEHICLE_THEFT,230
28006,2019,DRUG_TRAFFICKING,29
28006,2019,OTHER_CONVENTIONAL,2444
28006,2019,CYBERCRIME,848
28006,2019,CYBER_FRAUD,771
28006,2019,CYBER_OTHER,77
28006,2019,TOTAL,5492
28007,2019,CONVENTIONAL,5758
28007,2019,HOM_COMPLETED,0
28007,2019,HOM_ATTEMPTED,2
28007,2019,INJURY,29
28007,2019,KIDNAPPING,0
28007,2019,SEXUAL,22
28007,2019,SEXUAL_PENETRATION,6
28007,2019,SEXUAL_OTHER,16
28007,2019,ROBBERY_VIOLENT,257
28007,2019,BURGLARY,253
28007,2019,BURGLARY_DWELLING,154
28007,2019,THEFT,2282
28007,2019,VEHICLE_THEFT,134
28007,2019,DRUG_TRAFFICKING,38
28007,2019,OTHER_CONVENTIONAL,2741
28007,2019,CYBERCRIME,1063
28007,2019,CYBER_FRAUD,909
28007,2019,CYBER_OTHER,154
28007,2019,TOTAL,6821
28009,2019,CONVENTIONAL,657
28009,2019,HOM_COMPLETED,0
28009,2019,HOM_ATTEMPTED,0
28009,2019,INJURY,1
28009,2019,KIDNAPPING,0
28009,2019,SEXUAL,2
28009,2019,SEXUAL_PENETRATION,0
28009,2019,SEXUAL_OTHER,2
28009,2019,ROBBERY_VIOLENT,16
28009,2019,BURGLARY,47
28009,2019,BURGLARY_DWELLING,37
28009,2019,THEFT,146
28009,2019,VEHICLE_THEFT,9
28009,2019,DRUG_TRAFFICKING,0
28009,2019,OTHER_CONVENTIONAL,436
28009,2019,CYBERCRIME,114
28009,2019,CYBER_FRAUD,99
28009,2019,CYBER_OTHER,15
28009,2019,TOTAL,771
28013,2019,CONVENTIONAL,2097
28013,2019,HOM_COMPLETED,2
28013,2019,HOM_ATTEMPTED,2
28013,2019,INJURY,14
28013,2019,KIDNAPPING,0
28013,2019,SEXUAL,12
28013,2019,SEXUAL_PENETRATION,1
28013,2019,SEXUAL_OTHER,11
28013,2019,ROBBERY_VIOLENT,32
28013,2019,BURGLARY,122
28013,2019,BURGLARY_DWELLING,66
28013,2019,THEFT,547
28013,2019,VEHICLE_THEFT,53
28013,2019,DRUG_TRAFFICKING,13
28013,2019,OTHER_CONVENTIONAL,1300
28013,2019,CYBERCRIME,206
28013,2019,CYBER_FRAUD,188
28013,2019,CYBER_OTHER,18
28013,2019,TOTAL,2303
28014,2019,CONVENTIONAL,3156
28014,2019,HOM_COMPLETED,0
28014,2019,HOM_ATTEMPTED,0
28014,2019,INJURY,47
28014,2019,KIDNAPPING,0
28014,2019,SEXUAL,16
28014,2019,SEXUAL_PENETRATION,2
28014,2019,SEXUAL_OTHER,14
28014,2019,ROBBERY_VIOLENT,185
28014,2019,BURGLARY,141
28014,2019,BURGLARY_DWELLING,71
28014,2019,THEFT,1129
28014,2019,VEHICLE_THEFT,26
28014,2019,DRUG_TRAFFICKING,16
28014,2019,OTHER_CONVENTIONAL,1596
28014,2019,CYBERCRIME,137
28014,2019,CYBER_FRAUD,118
28014,2019,CYBER_OTHER,19
28014,2019,TOTAL,3293
28015,2019,CONVENTIONAL,2672
28015,2019,HOM_COMPLETED,0
28015,2019,HOM_ATTEMPTED,0
28015,2019,INJURY,7
28015,2019,KIDNAPPING,0
28015,2019,SEXUAL,18
28015,2019,SEXUAL_PENETRATION,1
28015,2019,SEXUAL_OTHER,17
28015,2019,ROBBERY_VIOLENT,32
28015,2019,BURGLARY,90
28015,2019,BURGLARY_DWELLING,61
28015,2019,THEFT,1621
28015,2019,VEHICLE_THEFT,52
28015,2019,DRUG_TRAFFICKING,2
28015,2019,OTHER_CONVENTIONAL,850
28015,2019,CYBERCRIME,214
28015,2019,CYBER_FRAUD,171
28015,2019,CYBER_OTHER,43
28015,2019,TOTAL,2886
28022,2019,CONVENTIONAL,1185
28022,2019,HOM_COMPLETED,0
28022,2019,HOM_ATTEMPTED,0
28022,2019,INJURY,6
28022,2019,KIDNAPPING,0
28022,2019,SEXUAL,5
28022,2019,SEXUAL_PENETRATION,0
28022,2019,SEXUAL_OTHER,5
28022,2019,ROBBERY_VIOLENT,11
28022,2019,BURGLARY,121
28022,2019,BURGLARY_DWELLING,92
28022,2019,THEFT,363
28022,2019,VEHICLE_THEFT,14
28022,2019,DRUG_TRAFFICKING,3
28022,2019,OTHER_CONVENTIONAL,662
28022,2019,CYBERCRIME,139
28022,2019,CYBER_FRAUD,118
28022,2019,CYBER_OTHER,21
28022,2019,TOTAL,1324
28040,2019,CONVENTIONAL,1388
28040,2019,HOM_COMPLETED,0
28040,2019,HOM_ATTEMPTED,1
28040,2019,INJURY,9
28040,2019,KIDNAPPING,0
28040,2019,SEXUAL,16
28040,2019,SEXUAL_PENETRATION,4
