ine_code,year,sex,population
28001,2025,T,70
28001,2024,T,68
28001,2023,T,67
28001,2022,T,62
28001,2021,T,55
28001,2020,T,68
28001,2019,T,84
28001,2025,M,39
28001,2024,M,37
28001,2023,M,34
28001,2022,M,32
28001,2021,M,26
28001,2020,M,34
28001,2019,M,44
28001,2025,F,31
28001,2024,F,31
28001,2023,F,33
28001,2022,F,30
28001,2021,F,29
28001,2020,F,34
28001,2019,F,40
28002,2025,T,4868
28002,2024,T,4863
28002,2023,T,4779
28002,2022,T,4751
28002,2021,T,4676
28002,2020,T,4721
28002,2019,T,4712
28002,2025,M,2522
28002,2024,M,2537
28002,2023,M,2483
28002,2022,M,2473
28002,2021,M,2437
28002,2020,M,2451
28002,2019,M,2438
28002,2025,F,2346
28002,2024,F,2326
28002,2023,F,2296
28002,2022,F,2278
28002,2021,F,2239
28002,2020,F,2270
28002,2019,F,2274
28003,2025,T,267
28003,2024,T,255
28003,2023,T,274
28003,2022,T,241
28003,2021,T,246
28003,2020,T,204
28003,2019,T,200
28003,2025,M,150
28003,2024,M,140
28003,2023,M,144
28003,2022,M,137
28003,2021,M,148
28003,2020,M,120
28003,2019,M,119
28003,2025,F,117
28003,2024,F,115
28003,2023,F,130
28003,2022,F,104
28003,2021,F,98
28003,2020,F,84
28003,2019,F,81
28004,2025,T,10594
28004,2024,T,10430
28004,2023,T,10322
28004,2022,T,10123
28004,2021,T,9908
28004,2020,T,9862
28004,2019,T,9470
28004,2025,M,5177
28004,2024,M,5151
28004,2023,M,5069
28004,2022,M,4972
28004,2021,M,4892
28004,2020,M,4849
28004,2019,M,4696
28004,2025,F,5417
28004,2024,F,5279
28004,2023,F,5253
28004,2022,F,5151
28004,2021,F,5016
28004,2020,F,5013
28004,2019,F,4774
28005,2025,T,203208
28005,2024,T,200702
28005,2023,T,199184
28005,2022,T,196888
28005,2021,T,195982
28005,2020,T,197562
28005,2019,T,195649
28005,2025,M,97925
28005,2024,M,96841
28005,2023,M,96342
28005,2022,M,95472
28005,2021,M,95061
28005,2020,M,96061
28005,2019,M,95234
28005,2025,F,105283
28005,2024,F,103861
28005,2023,F,102842
28005,2022,F,101416
28005,2021,F,100921
28005,2020,F,101501
28005,2019,F,100415
28006,2025,T,123342
28006,2024,T,121373
28006,2023,T,119416
28006,2022,T,117041
28006,2021,T,116589
28006,2020,T,118417
28006,2019,T,117040
28006,2025,M,58796
28006,2024,M,57849
28006,2023,M,56903
28006,2022,M,55907
28006,2021,M,55719
28006,2020,M,56554
28006,2019,M,55954
28006,2025,F,64546
28006,2024,F,63524
28006,2023,F,62513
28006,2022,F,61134
28006,2021,F,60870
28006,2020,F,61863
28006,2019,F,61086
28007,2025,T,175719
28007,2024,T,173625
28007,2023,T,171772
28007,2022,T,170296
28007,2021,T,170817
28007,2020,T,172384
28007,2019,T,170514
28007,2025,M,84155
28007,2024,M,83028
28007,2023,M,82226
28007,2022,M,81673
28007,2021,M,81998
28007,2020,M,82959
28007,2019,M,82139
28007,2025,F,91564
28007,2024,F,90597
28007,2023,F,89546
28007,2022,F,88623
28007,2021,F,88819
28007,2020,F,89425
28007,2019,F,88375
28008,2025,T,3503
28008,2024,T,3422
28008,2023,T,3408
28008,2022,T,3227
28008,2021,T,3085
28008,2020,T,2973
28008,2019,T,2838
28008,2025,M,1779
28008,2024,M,1753
28008,2023,M,1743
28008,2022,M,1653
28008,2021,M,1574
28008,2020,M,1517
28008,2019,M,1457
28008,2025,F,1724
28008,2024,F,1669
28008,2023,F,1665
28008,2022,F,1574
28008,2021,F,1511
28008,2020,F,1456
28008,2019,F,1381
28009,2025,T,21144
28009,2024,T,21167
28009,2023,T,20991
28009,2022,T,20767
28009,2021,T,20749
28009,2020,T,20864
28009,2019,T,20611
28009,2025,M,10338
28009,2024,M,10307
28009,2023,M,10279
28009,2022,M,10181
28009,2021,M,10184
28009,2020,M,10236
28009,2019,M,10106
28009,2025,F,10806
28009,2024,F,10860
28009,2023,F,10712
28009,2022,F,10586
28009,2021,F,10565
28009,2020,F,10628
28009,2019,F,10505
28010,2025,T,15686
28010,2024,T,15543
28010,2023,T,15312
28010,2022,T,15006
28010,2021,T,14959
28010,2020,T,14839
28010,2019,T,14575
28010,2025,M,7680
28010,2024,M,7620
28010,2023,M,7513
28010,2022,M,7380
28010,2021,M,7351
28010,2020,M,7277
28010,2019,M,7160
28010,2025,F,8006
28010,2024,F,7923
28010,2023,F,7799
28010,2022,F,7626
28010,2021,F,7608
28010,2020,F,7562
28010,2019,F,7415
28011,2025,T,732
28011,2024,T,697
28011,2023,T,684
28011,2022,T,648
28011,2021,T,662
28011,2020,T,609
28011,2019,T,592
28011,2025,M,363
28011,2024,M,349
28011,2023,M,337
28011,2022,M,324
28011,2021,M,330
28011,2020,M,308
28011,2019,M,296
28011,2025,F,369
28011,2024,F,348
28011,2023,F,347
28011,2022,F,324
28011,2021,F,332
28011,2020,F,301
28011,2019,F,296
28012,2025,T,1414
28012,2024,T,1392
28012,2023,T,1379
28012,2022,T,1354
28012,2021,T,1359
28012,2020,T,1286
28012,2019,T,1271
28012,2025,M,730
28012,2024,M,728
28012,2023,M,719
28012,2022,M,702
28012,2021,M,701
28012,2020,M,667
28012,2019,M,657
28012,2025,F,684
28012,2024,F,664
28012,2023,F,660
28012,2022,F,652
28012,2021,F,658
28012,2020,F,619
28012,2019,F,614
28013,2025,T,63040
28013,2024,T,62292
28013,2023,T,60668
28013,2022,T,59762
28013,2021,T,59833
28013,2020,T,60332
28013,2019,T,59607
28013,2025,M,30706
28013,2024,M,30346
28013,2023,M,29482
28013,2022,M,29046
28013,2021,M,29126
28013,2020,M,29420
28013,2019,M,28978
28013,2025,F,32334
28013,2024,F,31946
28013,2023,F,31186
28013,2022,F,30716
28013,2021,F,30707
28013,2020,F,30912
28013,2019,F,30629
28014,2025,T,60419
28014,2024,T,59513
28014,2023,T,58990
28014,2022,T,57553
28014,2021,T,56386
28014,2020,T,56678
28014,2019,T,55389
28014,2025,M,29983
28014,2024,M,29660
28014,2023,M,29449
28014,2022,M,28729
28014,2021,M,28161
28014,2020,M,28331
28014,2019,M,27771
28014,2025,F,30436
28014,2024,F,29853
28014,2023,F,29541
28014,2022,F,28824
28014,2021,F,28225
28014,2020,F,28347
28014,2019,F,27618
28015,2025,T,38075
28015,2024,T,37208
28015,2023,T,35972
28015,2022,T,34833
28015,2021,T,33687
28015,2020,T,32935
28015,2019,T,31396
28015,2025,M,18835
28015,2024,M,18439
28015,2023,M,17885
28015,2022,M,17313
28015,2021,M,16775
28015,2020,M,16419
28015,2019,M,15701
28015,2025,F,19240
28015,2024,F,18769
28015,2023,F,18087
28015,2022,F,17520
28015,2021,F,16912
28015,2020,F,16516
28015,2019,F,15695
28016,2025,T,110
28016,2024,T,107
28016,2023,T,104
28016,2022,T,107
28016,2021,T,109
28016,2020,T,90
28016,2019,T,89
28016,2025,M,61
28016,2024,M,57
28016,2023,M,60
28016,2022,M,60
28016,2021,M,62
28016,2020,M,47
28016,2019,M,48
28016,2025,F,49
28016,2024,F,50
28016,2023,F,44
