ine_code,municipality_name,surface_km2
28001,LA ACEBEDA,22.05634
28002,AJALVIR,19.61974
28003,ALAMEDA DEL VALLE,25.005633
28004,EL ALAMO,22.249751
28005,ALCALA DE HENARES,87.72182199999999
28006,ALCOBENDAS,44.981373000000005
28007,ALCORCON,33.732325
28008,ALDEA DEL FRESNO,51.784111
28009,ALGETE,37.880194
28010,ALPEDRETE,12.637933
28011,AMBITE,25.999028
28012,ANCHUELO,21.54709
28013,ARANJUEZ,201.114307
28014,ARGANDA DEL REY,79.648602
28015,ARROYOMOLINOS,20.658713
28016,EL ATAZAR,29.545286
28017,BATRES,21.373044
28018,BECERRIL DE LA SIERRA,30.351225
28019,BELMONTE DE TAJO,23.712004
28020,BERZOSA DEL LOZOYA,14.319257
28021,EL BERRUECO,28.796316
28022,BOADILLA DEL MONTE,47.195221
28023,EL BOALO,39.590985
28024,BRAOJOS,24.927886
28025,BREA DE TAJO,44.326658
28026,BRUNETE,48.943516
28027,BUITRAGO DEL LOZOYA,26.496128
28028,BUSTARVIEJO,57.315091
28029,CABANILLAS DE LA SIERRA,14.073632
28030,LA CABRERA,22.403898
28031,CADALSO DE LOS VIDRIOS,47.640112
28032,CAMARMA DE ESTERUELAS,35.430046000000004
28033,CAMPO REAL,61.745062
28034,CANENCIA,52.69998
28035,CARABANA,47.577315
28036,CASARRUBUELOS,5.321385
28037,CENICIENTOS,67.487237
28038,CERCEDILLA,35.778883
28039,CERVERA DE BUITRAGO,12.01969
28040,CIEMPOZUELOS,49.636953000000005
28041,COBENA,20.836447
28042,COLMENAR DEL ARROYO,50.565408
28043,COLMENAR DE OREJA,114.320152
28044,COLMENAREJO,31.698547
28045,COLMENAR VIEJO,182.564311
28046,COLLADO MEDIANO,22.573692
28047,COLLADO VILLALBA,26.520145000000003
28048,CORPA,25.911363
28049,COSLADA,12.014216
28050,CUBAS DE LA SAGRA,12.822907
28051,CHAPINERIA,25.397431
28052,CHINCHON,115.908065
28053,DAGANZO DE ARRIBA,43.772447
28054,EL ESCORIAL,68.751262
28055,ESTREMERA,79.099763
28056,FRESNEDILLAS DE LA OLIVA,28.199051
28057,FRESNO DE TOROTE,31.589168
28058,FUENLABRADA,39.410027
28059,FUENTE EL SAZ DE JARAMA,33.225868
28060,FUENTIDUENA DE TAJO,60.594802
28061,GALAPAGAR,64.992274
28062,GARGANTA DE LOS MONTES,39.658315
28063,GARGANTILLA DEL LOZOYA Y PINILLA DE BUITRAGO,24.120784
28064,GASCONES,20.042086
28065,GETAFE,78.37931499999999
28066,GRINON,17.420944
28067,GUADALIX DE LA SIERRA,61.045525
28068,GUADARRAMA,56.976192
28069,LA HIRUELA,17.176998
28070,HORCAJO DE LA SIERRA AOSLOS,20.566017
28071,HORCAJUELO DE LA SIERRA,24.391658000000003
28072,HOYO DE MANZANARES,45.314091
28073,HUMANES DE MADRID,19.464712
28074,LEGANES,43.091688000000005
28075,LOECHES,44.060338
28076,LOZOYA,57.943178
28078,MADARCOS,8.459707
28079,MADRID,604.4454000000001
28080,MAJADAHONDA,38.470473
28082,MANZANARES EL REAL,126.695651
28083,MECO,34.9561
28084,MEJORADA DEL CAMPO,17.211676
28085,MIRAFLORES DE LA SIERRA,56.657477
28086,EL MOLAR,50.289817
28087,LOS MOLINOS,19.558996
28088,MONTEJO DE LA SIERRA,31.954707
28089,MORALEJA DE ENMEDIO,31.294416
28090,MORALZARZAL,42.556143
28091,MORATA DE TAJUNA,45.197795
28092,MOSTOLES,45.360123
28093,NAVACERRADA,27.285369
28094,NAVALAFUENTE,11.754674
28095,NAVALAGAMELLA,76.049615
28096,NAVALCARNERO,100.218579
28097,NAVARREDONDA Y SAN MAMES,27.435531
28099,NAVAS DEL REY,50.780882
28100,NUEVO BAZTAN,20.196805
28101,OLMEDA DE LAS FUENTES,16.570876000000002
28102,ORUSCO DE TAJUNA,21.505691
28104,PARACUELLOS DE JARAMA,43.923984
28106,PARLA,24.507617
28107,PATONES,34.470446
28108,PEDREZUELA,28.34571
28109,PELAYOS DE LA PRESA,7.584826
28110,PERALES DE TAJUNA,48.920062
28111,PEZUELA DE LAS TORRES,41.444198
28112,PINILLA DEL VALLE,25.835854
28113,PINTO,62.043353
28114,PINUECAR GANDULLAS,18.187143000000003
28115,POZUELO DE ALARCON,43.199716
28116,POZUELO DEL REY,30.998436
28117,PRADENA DEL RINCON,22.478636
28118,PUEBLA DE LA SIERRA,57.700156
28119,QUIJORNA,25.712688
28120,RASCAFRIA,150.284913
28121,REDUENA,12.865124000000002
28122,RIBATEJADA,31.822882
28123,RIVAS VACIAMADRID,67.93430000000001
28124,ROBLEDILLO DE LA JARA,20.347803
28125,ROBLEDO DE CHAVELA,93.009216
28126,ROBREGORDO,18.3556
28127,LAS ROZAS DE MADRID,58.308952
28128,ROZAS DE PUERTO REAL,30.152617
28129,SAN AGUSTIN DEL GUADALIX,38.283042
28130,SAN FERNANDO DE HENARES,39.863546
28131,SAN LORENZO DE EL ESCORIAL,56.401833
28132,SAN MARTIN DE LA VEGA,105.928382
28133,SAN MARTIN DE VALDEIGLESIAS,115.480948
28134,SAN SEBASTIAN DE LOS REYES,58.663473
28135,SANTA MARIA DE LA ALAMEDA,74.407933
28136,SANTORCAZ,27.984394
28137,LOS SANTOS DE LA HUMOSA,34.888446
28138,LA SERNA DEL MONTE,5.441233
28140,SERRANILLOS DEL VALLE,13.292869
28141,SEVILLA LA NUEVA,25.130057
28143,SOMOSIERRA,20.422258
28144,SOTO DEL REAL,43.213762
28145,TALAMANCA DE JARAMA,39.356227
28146,TIELMES,26.882684
28147,TITULCIA,9.946321
28148,TORREJON DE ARDOZ,32.623457
28149,TORREJON DE LA CALZADA,8.98212
28150,TORREJON DE VELASCO,52.321334
