year,crime_code,crime_count
2019,CONVENTIONAL,370720
2019,HOM_COMPLETED,32
2019,HOM_ATTEMPTED,78
2019,INJURY,2442
2019,KIDNAPPING,16
2019,SEXUAL,1967
2019,SEXUAL_PENETRATION,243
2019,SEXUAL_OTHER,1724
2019,ROBBERY_VIOLENT,15372
2019,BURGLARY,18239
2019,BURGLARY_DWELLING,11469
2019,THEFT,154169
2019,VEHICLE_THEFT,8030
2019,DRUG_TRAFFICKING,2577
2019,OTHER_CONVENTIONAL,167798
2019,CYBERCRIME,37016
2019,CYBER_FRAUD,32841
2019,CYBER_OTHER,4175
2019,TOTAL,407736
2020,HOM_COMPLETED,38
2020,HOM_ATTEMPTED,98
2020,INJURY,2287
2020,KIDNAPPING,10
2020,SEXUAL,1976
2020,SEXUAL_PENETRATION,217
2020,SEXUAL_OTHER,1759
2020,ROBBERY_VIOLENT,10688
2020,BURGLARY,12262
2020,BURGLARY_DWELLING,7052
2020,THEFT,92213
2020,VEHICLE_THEFT,6235
2020,DRUG_TRAFFICKING,2470
2020,OTHER,181917
2020,TOTAL,310194
2021,CONVENTIONAL,292948
2021,HOM_COMPLETED,37
2021,HOM_ATTEMPTED,94
2021,INJURY,2717
2021,KIDNAPPING,13
2021,SEXUAL,2179
2021,SEXUAL_PENETRATION,274
2021,SEXUAL_OTHER,1905
2021,ROBBERY_VIOLENT,12153
2021,BURGLARY,12381
2021,BURGLARY_DWELLING,8243
2021,THEFT,108778
2021,VEHICLE_THEFT,6922
2021,DRUG_TRAFFICKING,2502
2021,OTHER_CONVENTIONAL,145172
2021,CYBERCRIME,53039
2021,CYBER_FRAUD,46978
2021,CYBER_OTHER,6061
2021,TOTAL,345987
2022,CONVENTIONAL,338524
2022,HOM_COMPLETED,47
2022,HOM_ATTEMPTED,134
2022,INJURY,3164
2022,KIDNAPPING,14
2022,SEXUAL,2467
2022,SEXUAL_PENETRATION,388
2022,SEXUAL_OTHER,2079
2022,ROBBERY_VIOLENT,12856
2022,BURGLARY,13631
2022,BURGLARY_DWELLING,9437
2022,THEFT,132876
2022,VEHICLE_THEFT,7450
2022,DRUG_TRAFFICKING,2978
2022,OTHER_CONVENTIONAL,162907
2022,CYBERCRIME,64437
2022,CYBER_FRAUD,58446
2022,CYBER_OTHER,5991
2022,TOTAL,402961
2023,CONVENTIONAL,333218
2023,HOM_COMPLETED,36
2023,HOM_ATTEMPTED,174
2023,INJURY,3347
2023,KIDNAPPING,19
2023,SEXUAL,2830
2023,SEXUAL_PENETRATION,649
2023,SEXUAL_OTHER,2181
2023,ROBBERY_VIOLENT,12233
2023,BURGLARY,14544
2023,BURGLARY_DWELLING,9326
2023,THEFT,128268
2023,VEHICLE_THEFT,7119
2023,DRUG_TRAFFICKING,3384
2023,OTHER_CONVENTIONAL,161264
2023,CYBERCRIME,79624
2023,CYBER_FRAUD,72314
2023,CYBER_OTHER,7310
2023,TOTAL,412842
2024,CONVENTIONAL,325965
2024,HOM_COMPLETED,23
2024,HOM_ATTEMPTED,155
2024,INJURY,3529
2024,KIDNAPPING,16
2024,SEXUAL,2985
2024,SEXUAL_PENETRATION,664
2024,SEXUAL_OTHER,2321
2024,ROBBERY_VIOLENT,11282
2024,BURGLARY,13482
2024,BURGLARY_DWELLING,8795
2024,THEFT,117462
2024,VEHICLE_THEFT,6987
2024,DRUG_TRAFFICKING,3842
2024,OTHER_CONVENTIONAL,166202
2024,CYBERCRIME,74007
2024,CYBER_FRAUD,65892
2024,CYBER_OTHER,8115
2024,TOTAL,399972
2025,CONVENTIONAL,319670
2025,HOM_COMPLETED,33
2025,HOM_ATTEMPTED,140
2025,INJURY,3832
2025,KIDNAPPING,13
2025,SEXUAL,3149
2025,SEXUAL_PENETRATION,685
2025,SEXUAL_OTHER,2464
2025,ROBBERY_VIOLENT,9973
2025,BURGLARY,12731
2025,BURGLARY_DWELLING,8380
2025,THEFT,111153
2025,VEHICLE_THEFT,6982
2025,DRUG_TRAFFICKING,4610
2025,OTHER_CONVENTIONAL,167054
2025,CYBERCRIME,72498
2025,CYBER_FRAUD,63150
2025,CYBER_OTHER,9348
2025,TOTAL,392168
2019,OTHER,204814
2021,OTHER,198211
2022,OTHER,227344
2023,OTHER,240888
2024,OTHER,240209
2025,OTHER,239552
