year,crime_code,recorded,cleared
2019,1,29288,25043
2019,1.1,110,97
2019,1.1.1,32,24
2019,1.2,13704,9687
2019,1.3,14907,14847
2019,1.4,567,412
2019,10,4428,4349
2019,11,24,19
2019,12,1004,670
2019,2,15655,10821
2019,2.1,1223,1216
2019,2.2,14432,9605
2019,3,2215,1714
2019,3.1,1292,1007
2019,3.2,455,380
2019,3.3,55,50
2019,3.4,108,79
2019,3.5,305,198
2019,4,822,718
2019,5,337836,47093
2019,5.1,154169,23999
2019,5.2,47391,4016
2019,5.2.1,24125,1247
2019,5.2.2,11469,1097
2019,5.2.3,6462,967
2019,5.3,15372,3360
2019,5.3.1,10896,2071
2019,5.3.2,871,184
2019,5.3.3,1595,702
2019,5.4,8030,1500
2019,5.5,62020,7349
2019,5.5.1,32841,2432
2019,5.6,42315,3106
2019,5.7,202,181
2019,5.8,35,32
2019,5.9,8302,3550
2019,6,7696,7279
2019,6.1,2577,2376
2019,6.2,4873,4709
2019,6.3,246,194
2019,7,4042,2183
2019,8,55,38
2019,9,4671,4534
2019,TOTAL,407736,104461
2020,1,25967,23204
2020,1.1,136,136
2020,1.1.1,38,37
2020,1.2,10596,7986
2020,1.3,14809,14735
2020,1.4,426,347
2020,10,5673,5599
2020,11,9,9
2020,12,871,586
2020,2,15636,11238
2020,2.1,1104,1099
2020,2.2,14532,10139
2020,3,1976,1641
2020,3.1,1084,938
2020,3.2,473,433
2020,3.3,46,33
2020,3.4,95,57
2020,3.5,278,180
2020,4,754,668
2020,5,243275,38932
2020,5.1,92213,17530
2020,5.2,31715,3815
2020,5.2.1,15947,1106
2020,5.2.2,7052,1028
2020,5.2.3,4972,1007
2020,5.3,10688,3305
2020,5.3.1,7362,1948
2020,5.3.2,633,200
2020,5.3.3,1304,756
2020,5.4,6235,1426
2020,5.5,64133,6470
2020,5.5.1,44139,2992
2020,5.6,31429,3002
2020,5.7,76,56
2020,5.8,42,35
2020,5.9,6744,3293
2020,6,6933,6337
2020,6.1,2470,2101
2020,6.2,4270,4087
2020,6.3,193,149
2020,7,4584,1885
2020,8,35,20
2020,9,4481,4366
2020,TOTAL,310194,94485
2021,1,29383,26001
2021,1.1,131,129
2021,1.1.1,37,36
2021,1.2,12094,8871
2021,1.3,16618,16560
2021,1.4,540,441
2021,10,5747,5691
2021,11,22,18
2021,12,848,550
2021,2,17576,12402
2021,2.1,1284,1280
2021,2.2,16292,11122
2021,3,2420,1918
2021,3.1,1390,1109
2021,3.2,538,484
2021,3.3,46,31
2021,3.4,104,76
2021,3.5,342,218
2021,4,930,809
2021,5,269675,43272
2021,5.1,108778,19862
2021,5.2,33408,3631
2021,5.2.1,17229,1088
2021,5.2.2,8243,882
2021,5.2.3,3940,949
2021,5.3,12153,3554
2021,5.3.1,8283,2122
2021,5.3.2,721,204
2021,5.3.3,1277,737
2021,5.4,6922,1364
2021,5.5,66395,7786
2021,5.5.1,46978,3952
2021,5.6,34336,3450
2021,5.7,93,70
2021,5.8,47,36
2021,5.9,7543,3519
2021,6,7463,6947
2021,6.1,2502,2196
2021,6.2,4759,4612
2021,6.3,202,139
2021,7,6857,2193
2021,8,60,39
2021,9,5006,4935
2021,TOTAL,345987,104775
2022,1,33243,29207
2022,1.1,183,180
2022,1.1.1,46,52
2022,1.2,13585,9766
2022,1.3,18839,18761
2022,1.4,636,500
2022,10,5479,5444
2022,11,11,9
2022,12,983,666
2022,2,17369,12460
2022,2.1,1183,1189
2022,2.2,16186,11271
2022,3,2663,2113
2022,3.1,1578,1243
2022,3.2,613,522
2022,3.3,43,33
2022,3.4,88,73
2022,3.5,341,242
2022,4,862,759
2022,5,319089,49712
2022,5.1,132920,23288
2022,5.2,39960,4379
2022,5.2.1,21974,1500
2022,5.2.2,9518,1031
2022,5.2.3,4034,1008
2022,5.3,12626,3918
2022,5.3.1,8560,2253
2022,5.3.2,582,179
2022,5.3.3,1661,980
2022,5.4,7397,1611
2022,5.5,80979,9240
2022,5.5.1,57794,4987
2022,5.6,35696,3450
2022,5.7,183,154
2022,5.8,73,63
2022,5.9,9255,3609
2022,6,8640,8281
2022,6.1,2984,2823
2022,6.2,5425,5298
2022,6.3,231,160
2022,7,8149,2826
2022,8,59,35
2022,9,5377,5284
2022,TOTAL,401924,116796
2023,1,34880,31088
2023,1.1,206,199
2023,1.1.1,33,33
2023,1.2,13662,10028
2023,1.3,20263,20277
2023,1.4,749,584
2023,10,5706,5695
2023,11,35,25
2023,12,1072,761
2023,2,18647,13599
2023,2.1,1347,1383
2023,2.2,17300,12216
2023,3,3066,2495
2023,3.1,1804,1461
2023,3.2,649,591
2023,3.3,50,35
2023,3.4,135,113
2023,3.5,428,295
2023,4,723,669
2023,5,323394,55654
2023,5.1,128366,26686
2023,5.2,41106,4811
2023,5.2.1,21961,1522
2023,5.2.2,9336,1105
2023,5.2.3,4998,1324
2023,5.3,12015,4269
2023,5.3.1,8252,2526
2023,5.3.2,646,214
2023,5.3.3,1495,1020
2023,5.4,7061,1929
2023,5.5,90148,10272
2023,5.5.1,71534,5966
2023,5.6,34276,3447
2023,5.7,119,105
2023,5.8,81,82
2023,5.9,10222,4053
2023,6,8997,8745
2023,6.1,3389,3302
2023,6.2,5381,5283
2023,6.3,227,160
2023,7,9589,2967
2023,8,42,35
2023,9,5631,5577
2023,TOTAL,411782,127310
2024,1,36458,32817
2024,1.1,176,178
2024,1.1.1,21,23
2024,1.2,14141,10626
2024,1.3,21237,21292
2024,1.4,904,721
2024,10,5702,5697
2024,11,45,51
2024,12,1099,820
2024,2,19476,14202
2024,2.1,1326,1353
2024,2.2,18150,12849
2024,3,3212,2668
2024,3.1,1940,1599
2024,3.2,665,611
2024,3.3,56,39
2024,3.4,124,98
2024,3.5,427,321
2024,4,747,688
2024,5,306730,60030
2024,5.1,117488,28434
2024,5.2,40866,5263
2024,5.2.1,23193,1999
2024,5.2.2,8805,1090
2024,5.2.3,4518,1342
2024,5.3,11074,4181
2024,5.3.1,7613,2497
2024,5.3.2,580,223
2024,5.3.3,1474,1059
2024,5.4,6946,1931
2024,5.5,85927,11886
2024,5.5.1,65361,6955
2024,5.6,33695,3768
