year,crime_code,age,sex,count
2019,1,14-17,M,804
2019,1,14-17,F,171
2019,1,18-30,M,4606
2019,1,18-30,F,798
2019,1,31-40,M,3898
2019,1,31-40,F,695
2019,1,41-64,M,4336
2019,1,41-64,F,662
2019,1,65+,M,297
2019,1,65+,F,33
2019,1.1,14-17,M,4
2019,1.1,14-17,F,1
2019,1.1,18-30,M,71
2019,1.1,18-30,F,4
2019,1.1,31-40,M,22
2019,1.1,31-40,F,1
2019,1.1,41-64,M,23
2019,1.1,41-64,F,2
2019,1.1,65+,M,1
2019,1.1,65+,F,0
2019,1.1.1,14-17,M,0
2019,1.1.1,14-17,F,0
2019,1.1.1,18-30,M,13
2019,1.1.1,18-30,F,1
2019,1.1.1,31-40,M,5
2019,1.1.1,31-40,F,0
2019,1.1.1,41-64,M,7
2019,1.1.1,41-64,F,0
2019,1.1.1,65+,M,0
2019,1.1.1,65+,F,0
2019,1.2,14-17,M,364
2019,1.2,14-17,F,57
2019,1.2,18-30,M,1380
2019,1.2,18-30,F,200
2019,1.2,31-40,M,701
2019,1.2,31-40,F,154
2019,1.2,41-64,M,731
2019,1.2,41-64,F,144
2019,1.2,65+,M,66
2019,1.2,65+,F,17
2019,1.3,14-17,M,337
2019,1.3,14-17,F,99
2019,1.3,18-30,M,2911
2019,1.3,18-30,F,573
2019,1.3,31-40,M,3108
2019,1.3,31-40,F,512
2019,1.3,41-64,M,3518
2019,1.3,41-64,F,505
2019,1.3,65+,M,226
2019,1.3,65+,F,14
2019,1.4,14-17,M,99
2019,1.4,14-17,F,14
2019,1.4,18-30,M,244
2019,1.4,18-30,F,21
2019,1.4,31-40,M,67
2019,1.4,31-40,F,28
2019,1.4,41-64,M,64
2019,1.4,41-64,F,11
2019,1.4,65+,M,4
2019,1.4,65+,F,2
2019,2,14-17,M,264
2019,2,14-17,F,48
2019,2,18-30,M,1040
2019,2,18-30,F,201
2019,2,31-40,M,900
2019,2,31-40,F,166
2019,2,41-64,M,1263
2019,2,41-64,F,252
2019,2,65+,M,124
2019,2,65+,F,20
2019,2.1,14-17,M,40
2019,2.1,14-17,F,3
2019,2.1,18-30,M,185
2019,2.1,18-30,F,25
2019,2.1,31-40,M,221
2019,2.1,31-40,F,23
2019,2.1,41-64,M,285
2019,2.1,41-64,F,28
2019,2.1,65+,M,23
2019,2.1,65+,F,0
2019,2.2,14-17,M,224
2019,2.2,14-17,F,45
2019,2.2,18-30,M,855
2019,2.2,18-30,F,176
2019,2.2,31-40,M,679
2019,2.2,31-40,F,143
2019,2.2,41-64,M,978
