year,crime_code,age,sex,count
2019,1,0-13,M,534
2019,1,0-13,F,364
2019,1,0-13,U,1
2019,1,14-17,M,696
2019,1,14-17,F,690
2019,1,14-17,U,1
2019,1,18-30,M,3752
2019,1,18-30,F,5258
2019,1,18-30,U,8
2019,1,31-40,M,2813
2019,1,31-40,F,4621
2019,1,31-40,U,13
2019,1,41-64,M,4263
2019,1,41-64,F,5221
2019,1,41-64,U,14
2019,1,65+,M,579
2019,1,65+,F,676
2019,1,65+,U,2
2019,1,U,M,45
2019,1,U,F,19
2019,1,U,U,7
2019,1.1,0-13,M,1
2019,1.1,0-13,F,2
2019,1.1,0-13,U,0
2019,1.1,14-17,M,0
2019,1.1,14-17,F,0
2019,1.1,14-17,U,0
2019,1.1,18-30,M,30
2019,1.1,18-30,F,9
2019,1.1,18-30,U,1
2019,1.1,31-40,M,17
2019,1.1,31-40,F,6
2019,1.1,31-40,U,0
2019,1.1,41-64,M,17
2019,1.1,41-64,F,8
2019,1.1,41-64,U,0
2019,1.1,65+,M,8
2019,1.1,65+,F,5
2019,1.1,65+,U,0
2019,1.1,U,M,4
2019,1.1,U,F,1
2019,1.1,U,U,1
2019,1.1.1,0-13,M,1
2019,1.1.1,0-13,F,0
2019,1.1.1,0-13,U,0
2019,1.1.1,14-17,M,0
2019,1.1.1,14-17,F,0
2019,1.1.1,14-17,U,0
2019,1.1.1,18-30,M,4
2019,1.1.1,18-30,F,4
2019,1.1.1,18-30,U,0
2019,1.1.1,31-40,M,1
2019,1.1.1,31-40,F,4
2019,1.1.1,31-40,U,0
2019,1.1.1,41-64,M,6
2019,1.1.1,41-64,F,3
2019,1.1.1,41-64,U,0
2019,1.1.1,65+,M,5
2019,1.1.1,65+,F,3
2019,1.1.1,65+,U,0
2019,1.1.1,U,M,0
2019,1.1.1,U,F,1
2019,1.1.1,U,U,0
2019,1.2,0-13,M,264
2019,1.2,0-13,F,137
2019,1.2,0-13,U,1
2019,1.2,14-17,M,563
2019,1.2,14-17,F,295
2019,1.2,14-17,U,0
2019,1.2,18-30,M,2969
2019,1.2,18-30,F,1322
2019,1.2,18-30,U,0
2019,1.2,31-40,M,2159
2019,1.2,31-40,F,989
2019,1.2,31-40,U,2
2019,1.2,41-64,M,3149
2019,1.2,41-64,F,1507
2019,1.2,41-64,U,8
2019,1.2,65+,M,362
2019,1.2,65+,F,208
2019,1.2,65+,U,2
2019,1.2,U,M,27
2019,1.2,U,F,8
2019,1.2,U,U,5
2019,1.3,0-13,M,254
2019,1.3,0-13,F,211
2019,1.3,0-13,U,0
2019,1.3,14-17,M,121
2019,1.3,14-17,F,384
2019,1.3,14-17,U,1
2019,1.3,18-30,M,688
2019,1.3,18-30,F,3860
2019,1.3,18-30,U,6
2019,1.3,31-40,M,585
2019,1.3,31-40,F,3583
2019,1.3,31-40,U,11
2019,1.3,41-64,M,971
2019,1.3,41-64,F,3615
2019,1.3,41-64,U,6
2019,1.3,65+,M,188
2019,1.3,65+,F,447
2019,1.3,65+,U,0
2019,1.3,U,M,12
2019,1.3,U,F,9
2019,1.3,U,U,0
2019,1.4,0-13,M,15
2019,1.4,0-13,F,14
2019,1.4,0-13,U,0
2019,1.4,14-17,M,12
2019,1.4,14-17,F,11
2019,1.4,14-17,U,0
2019,1.4,18-30,M,65
2019,1.4,18-30,F,67
2019,1.4,18-30,U,1
2019,1.4,31-40,M,52
2019,1.4,31-40,F,43
2019,1.4,31-40,U,0
2019,1.4,41-64,M,126
2019,1.4,41-64,F,91
2019,1.4,41-64,U,0
2019,1.4,65+,M,21
2019,1.4,65+,F,16
2019,1.4,65+,U,0
2019,1.4,U,M,2
2019,1.4,U,F,1
2019,1.4,U,U,1
2019,2,0-13,M,150
2019,2,0-13,F,157
2019,2,0-13,U,0
2019,2,14-17,M,342
2019,2,14-17,F,344
2019,2,14-17,U,0
2019,2,18-30,M,1649
2019,2,18-30,F,1942
2019,2,18-30,U,2
2019,2,31-40,M,1857
2019,2,31-40,F,1878
2019,2,31-40,U,2
2019,2,41-64,M,3378
2019,2,41-64,F,2906
2019,2,41-64,U,17
2019,2,65+,M,503
2019,2,65+,F,434
2019,2,65+,U,6
2019,2,U,M,61
2019,2,U,F,27
2019,2,U,U,6
2019,2.1,0-13,M,24
2019,2.1,0-13,F,20
2019,2.1,0-13,U,0
2019,2.1,14-17,M,19
2019,2.1,14-17,F,37
2019,2.1,14-17,U,0
2019,2.1,18-30,M,39
2019,2.1,18-30,F,252
2019,2.1,18-30,U,1
2019,2.1,31-40,M,24
2019,2.1,31-40,F,318
2019,2.1,31-40,U,1
2019,2.1,41-64,M,67
2019,2.1,41-64,F,332
2019,2.1,41-64,U,0
2019,2.1,65+,M,24
2019,2.1,65+,F,63
2019,2.1,65+,U,0
2019,2.1,U,M,1
2019,2.1,U,F,2
2019,2.1,U,U,0
2019,2.2,0-13,M,126
2019,2.2,0-13,F,137
2019,2.2,0-13,U,0
2019,2.2,14-17,M,323
2019,2.2,14-17,F,307
2019,2.2,14-17,U,0
2019,2.2,18-30,M,1610
2019,2.2,18-30,F,1690
2019,2.2,18-30,U,1
2019,2.2,31-40,M,1833
2019,2.2,31-40,F,1560
2019,2.2,31-40,U,1
2019,2.2,41-64,M,3311
2019,2.2,41-64,F,2574
2019,2.2,41-64,U,17
2019,2.2,65+,M,479
2019,2.2,65+,F,371
2019,2.2,65+,U,6
2019,2.2,U,M,60
2019,2.2,U,F,25
2019,2.2,U,U,6
2019,3,0-13,M,134
2019,3,0-13,F,356
2019,3,0-13,U,2
2019,3,14-17,M,102
2019,3,14-17,F,453
2019,3,14-17,U,0
2019,3,18-30,M,71
2019,3,18-30,F,663
2019,3,18-30,U,0
2019,3,31-40,M,26
2019,3,31-40,F,224
2019,3,31-40,U,1
2019,3,41-64,M,21
2019,3,41-64,F,170
2019,3,41-64,U,0
2019,3,65+,M,2
2019,3,65+,F,12
2019,3,65+,U,0
2019,3,U,M,1
2019,3,U,F,8
2019,3,U,U,0
2019,3.1,0-13,M,61
2019,3.1,0-13,F,230
2019,3.1,0-13,U,0
2019,3.1,14-17,M,63
2019,3.1,14-17,F,247
2019,3.1,14-17,U,0
2019,3.1,18-30,M,46
2019,3.1,18-30,F,424
2019,3.1,18-30,U,0
2019,3.1,31-40,M,13
2019,3.1,31-40,F,145
2019,3.1,31-40,U,0
2019,3.1,41-64,M,14
2019,3.1,41-64,F,109
2019,3.1,41-64,U,0
2019,3.1,65+,M,0
2019,3.1,65+,F,12
2019,3.1,65+,U,0
2019,3.1,U,M,1
2019,3.1,U,F,3
2019,3.1,U,U,0
2019,3.2,0-13,M,12
2019,3.2,0-13,F,31
2019,3.2,0-13,U,0
2019,3.2,14-17,M,5
2019,3.2,14-17,F,108
2019,3.2,14-17,U,0
2019,3.2,18-30,M,19
2019,3.2,18-30,F,182
2019,3.2,18-30,U,0
2019,3.2,31-40,M,7
2019,3.2,31-40,F,57
2019,3.2,31-40,U,1
2019,3.2,41-64,M,1
2019,3.2,41-64,F,44
2019,3.2,41-64,U,0
2019,3.2,65+,M,0
2019,3.2,65+,F,0
2019,3.2,65+,U,0
2019,3.2,U,M,0
2019,3.2,U,F,1
2019,3.2,U,U,0
2019,3.3,0-13,M,7
2019,3.3,0-13,F,11
2019,3.3,0-13,U,0
2019,3.3,14-17,M,15
2019,3.3,14-17,F,20
2019,3.3,14-17,U,0
2019,3.3,18-30,M,4
2019,3.3,18-30,F,2
2019,3.3,18-30,U,0
